quarantine_id,source_table,source_row_id,failure_reason,validation_rule,quarantined_at,raw_record_payload
Q-9EBD2F929A34,05_loading_orders.csv,LO-PS10-01098,Non-positive ordered_quantity_litres (-36000.0L),RULE_NEGATIVE_QUANTITY,2026-09-15T14:23:36.827133,"{""order_id"": ""LO-PS10-01098"", ""omc_id"": ""totalenergies"", ""depot_id"": ""nairobi"", ""truck_id"": ""TRK-0676"", ""product_id"": ""JET-A1"", ""ordered_quantity_litres"": -36000, ""order_registered_time"": ""2026-06-12 10:53:42"", ""expected_arrival_time"": ""2026-06-12 12:50:42"", ""scheduled_window_start"": ""2026-06-12 12:35:42"", ""scheduled_window_end"": ""2026-06-12 13:35:42"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-7D2E04E3CA6F,05_loading_orders.csv,LO-KOTPS1-01115,Unknown depot_id 'marsabit' foreign key reference,RULE_UNKNOWN_FOREIGN_KEY,2026-09-15T14:23:36.850697,"{""order_id"": ""LO-KOTPS1-01115"", ""omc_id"": ""lakeoil"", ""depot_id"": ""marsabit"", ""truck_id"": ""TRK-0239"", ""product_id"": ""PMS"", ""ordered_quantity_litres"": 38000, ""order_registered_time"": ""2026-06-15 08:06:09"", ""expected_arrival_time"": ""2026-06-15 10:24:09"", ""scheduled_window_start"": ""2026-06-15 10:09:09"", ""scheduled_window_end"": ""2026-06-15 11:09:09"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-1B8945D4CAAA,05_loading_orders.csv,LO-PS28-01078,Unknown omc_id 'unknown_petroleum' foreign key reference,RULE_UNKNOWN_FOREIGN_KEY,2026-09-15T14:23:36.898503,"{""order_id"": ""LO-PS28-01078"", ""omc_id"": ""unknown_petroleum"", ""depot_id"": ""kisumu"", ""truck_id"": ""TRK-0584"", ""product_id"": ""PMS"", ""ordered_quantity_litres"": 32000, ""order_registered_time"": ""2026-06-18 12:51:01"", ""expected_arrival_time"": ""2026-06-18 15:20:01"", ""scheduled_window_start"": ""2026-06-18 15:05:01"", ""scheduled_window_end"": ""2026-06-18 16:05:01"", ""order_status"": ""CANCELLED"", ""cancellation_reason"": ""TRANSPORTER_TRUCK_SUBSTITUTION""}"
Q-E2194FAEFA77,05_loading_orders.csv,LO-PS28-01013,Duplicate order_id 'LO-PS28-01013' detected,RULE_UNIQUE_ORDER_ID,2026-09-15T14:23:36.913860,"{""order_id"": ""LO-PS28-01013"", ""omc_id"": ""ola"", ""depot_id"": ""mombasa"", ""truck_id"": ""TRK-0011"", ""product_id"": ""PMS"", ""ordered_quantity_litres"": 40000, ""order_registered_time"": ""2026-06-19 17:05:53"", ""expected_arrival_time"": ""2026-06-19 19:12:53"", ""scheduled_window_start"": ""2026-06-19 18:57:53"", ""scheduled_window_end"": ""2026-06-19 19:57:53"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-91772750603E,05_loading_orders.csv,LO-PS25-01156,"Extreme ordered_quantity_litres (950000.0L) exceeds legal road axle limit of 100,000L",RULE_EXTREME_OUTLIER,2026-09-15T14:23:36.914783,"{""order_id"": ""LO-PS25-01156"", ""omc_id"": ""totalenergies"", ""depot_id"": ""nakuru"", ""truck_id"": ""TRK-0303"", ""product_id"": ""AGO"", ""ordered_quantity_litres"": 950000, ""order_registered_time"": ""2026-06-19 12:14:06"", ""expected_arrival_time"": ""2026-06-19 13:29:06"", ""scheduled_window_start"": ""2026-06-19 13:14:06"", ""scheduled_window_end"": ""2026-06-19 14:14:06"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-AB70429D4F6C,05_loading_orders.csv,LO-PS10-01101,Duplicate order_id 'LO-PS10-01101' detected,RULE_UNIQUE_ORDER_ID,2026-09-15T14:23:36.940667,"{""order_id"": ""LO-PS10-01101"", ""omc_id"": ""vivo"", ""depot_id"": ""nairobi"", ""truck_id"": ""TRK-0742"", ""product_id"": ""AGO"", ""ordered_quantity_litres"": 28000, ""order_registered_time"": ""2026-06-22 11:30:58"", ""expected_arrival_time"": ""2026-06-22 12:39:58"", ""scheduled_window_start"": ""2026-06-22 12:24:58"", ""scheduled_window_end"": ""2026-06-22 13:24:58"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-4DB50E8394C5,05_loading_orders.csv,LO-PS27-01034,Duplicate order_id 'LO-PS27-01034' detected,RULE_UNIQUE_ORDER_ID,2026-09-15T14:23:36.949306,"{""order_id"": ""LO-PS27-01034"", ""omc_id"": ""rubis"", ""depot_id"": ""kisumu"", ""truck_id"": ""TRK-0516"", ""product_id"": ""AGO"", ""ordered_quantity_litres"": 38000, ""order_registered_time"": ""2026-06-22 11:45:38"", ""expected_arrival_time"": ""2026-06-22 14:05:38"", ""scheduled_window_start"": ""2026-06-22 13:50:38"", ""scheduled_window_end"": ""2026-06-22 14:50:38"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-357F9D38D4B3,05_loading_orders.csv,LO-KOTPS1-01096,Duplicate order_id 'LO-KOTPS1-01096' detected,RULE_UNIQUE_ORDER_ID,2026-09-15T14:23:36.950593,"{""order_id"": ""LO-KOTPS1-01096"", ""omc_id"": ""petrocity"", ""depot_id"": ""nakuru"", ""truck_id"": ""TRK-0041"", ""product_id"": ""PMS"", ""ordered_quantity_litres"": 40000, ""order_registered_time"": ""2026-06-22 11:00:53"", ""expected_arrival_time"": ""2026-06-22 12:39:53"", ""scheduled_window_start"": ""2026-06-22 12:24:53"", ""scheduled_window_end"": ""2026-06-22 13:24:53"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-EAE85D6073ED,05_loading_orders.csv,LO-PS10-01538,Unknown omc_id 'unknown_petroleum' foreign key reference,RULE_UNKNOWN_FOREIGN_KEY,2026-09-15T14:23:36.956490,"{""order_id"": ""LO-PS10-01538"", ""omc_id"": ""unknown_petroleum"", ""depot_id"": ""nairobi"", ""truck_id"": ""TRK-0328"", ""product_id"": ""AGO"", ""ordered_quantity_litres"": 28000, ""order_registered_time"": ""2026-06-23 09:07:55"", ""expected_arrival_time"": ""2026-06-23 10:57:55"", ""scheduled_window_start"": ""2026-06-23 10:42:55"", ""scheduled_window_end"": ""2026-06-23 11:42:55"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-CD47EC371C4C,05_loading_orders.csv,LO-PS10-01065,Duplicate order_id 'LO-PS10-01065' detected,RULE_UNIQUE_ORDER_ID,2026-09-15T14:23:36.970245,"{""order_id"": ""LO-PS10-01065"", ""omc_id"": ""petrocity"", ""depot_id"": ""nairobi"", ""truck_id"": ""TRK-0633"", ""product_id"": ""PMS"", ""ordered_quantity_litres"": 38000, ""order_registered_time"": ""2026-06-24 07:48:57"", ""expected_arrival_time"": ""2026-06-24 09:13:57"", ""scheduled_window_start"": ""2026-06-24 08:58:57"", ""scheduled_window_end"": ""2026-06-24 09:58:57"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-725FD7ABCFEB,05_loading_orders.csv,LO-PS10-01598,Unknown truck_id 'nan' foreign key reference,RULE_UNKNOWN_FOREIGN_KEY,2026-09-15T14:23:36.974014,"{""order_id"": ""LO-PS10-01598"", ""omc_id"": ""lakeoil"", ""depot_id"": ""nairobi"", ""truck_id"": NaN, ""product_id"": ""AGO"", ""ordered_quantity_litres"": 40000, ""order_registered_time"": ""2026-06-24 13:35:05"", ""expected_arrival_time"": ""2026-06-24 15:05:05"", ""scheduled_window_start"": ""2026-06-24 14:50:05"", ""scheduled_window_end"": ""2026-06-24 15:50:05"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-4E7380EDD844,05_loading_orders.csv,LO-PS28-01031,Duplicate order_id 'LO-PS28-01031' detected,RULE_UNIQUE_ORDER_ID,2026-09-15T14:23:36.977082,"{""order_id"": ""LO-PS28-01031"", ""omc_id"": ""lakeoil"", ""depot_id"": ""kisumu"", ""truck_id"": ""TRK-0511"", ""product_id"": ""PMS"", ""ordered_quantity_litres"": 40000, ""order_registered_time"": ""2026-06-24 08:23:26"", ""expected_arrival_time"": ""2026-06-24 09:36:26"", ""scheduled_window_start"": ""2026-06-24 09:21:26"", ""scheduled_window_end"": ""2026-06-24 10:21:26"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-FBD5767607CA,05_loading_orders.csv,LO-PS10-01624,Unknown truck_id 'nan' foreign key reference,RULE_UNKNOWN_FOREIGN_KEY,2026-09-15T14:23:36.981546,"{""order_id"": ""LO-PS10-01624"", ""omc_id"": ""vivo"", ""depot_id"": ""nairobi"", ""truck_id"": NaN, ""product_id"": ""PMS"", ""ordered_quantity_litres"": 28000, ""order_registered_time"": ""2026-06-24 09:50:58"", ""expected_arrival_time"": ""2026-06-24 12:02:58"", ""scheduled_window_start"": ""2026-06-24 11:47:58"", ""scheduled_window_end"": ""2026-06-24 12:47:58"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-9D229B8DAF84,05_loading_orders.csv,LO-KOTPS1-01133,Duplicate order_id 'LO-KOTPS1-01133' detected,RULE_UNIQUE_ORDER_ID,2026-09-15T14:23:36.989209,"{""order_id"": ""LO-KOTPS1-01133"", ""omc_id"": ""rubis"", ""depot_id"": ""mombasa"", ""truck_id"": ""TRK-0485"", ""product_id"": ""PMS"", ""ordered_quantity_litres"": 40000, ""order_registered_time"": ""2026-06-25 09:19:59"", ""expected_arrival_time"": ""2026-06-25 10:44:59"", ""scheduled_window_start"": ""2026-06-25 10:29:59"", ""scheduled_window_end"": ""2026-06-25 11:29:59"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-B8E90AFDCED4,05_loading_orders.csv,LO-PS27-01035,Duplicate order_id 'LO-PS27-01035' detected,RULE_UNIQUE_ORDER_ID,2026-09-15T14:23:36.992646,"{""order_id"": ""LO-PS27-01035"", ""omc_id"": ""lakeoil"", ""depot_id"": ""eldoret"", ""truck_id"": ""TRK-0259"", ""product_id"": ""AGO"", ""ordered_quantity_litres"": 34000, ""order_registered_time"": ""2026-06-25 15:34:25"", ""expected_arrival_time"": ""2026-06-25 16:31:25"", ""scheduled_window_start"": ""2026-06-25 16:16:25"", ""scheduled_window_end"": ""2026-06-25 17:16:25"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-61C0854C6035,05_loading_orders.csv,LO-PS10-01094,Duplicate order_id 'LO-PS10-01094' detected,RULE_UNIQUE_ORDER_ID,2026-09-15T14:23:36.993080,"{""order_id"": ""LO-PS10-01094"", ""omc_id"": ""petrocity"", ""depot_id"": ""nakuru"", ""truck_id"": ""TRK-0558"", ""product_id"": ""PMS"", ""ordered_quantity_litres"": 32000, ""order_registered_time"": ""2026-06-25 09:22:56"", ""expected_arrival_time"": ""2026-06-25 11:50:56"", ""scheduled_window_start"": ""2026-06-25 11:35:56"", ""scheduled_window_end"": ""2026-06-25 12:35:56"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-52B5243FC03E,05_loading_orders.csv,LO-PS10-01704,Unknown depot_id 'marsabit' foreign key reference,RULE_UNKNOWN_FOREIGN_KEY,2026-09-15T14:23:37.003164,"{""order_id"": ""LO-PS10-01704"", ""omc_id"": ""vivo"", ""depot_id"": ""marsabit"", ""truck_id"": ""TRK-0426"", ""product_id"": ""DPK"", ""ordered_quantity_litres"": 38000, ""order_registered_time"": ""2026-06-26 12:24:18"", ""expected_arrival_time"": ""2026-06-26 13:36:18"", ""scheduled_window_start"": ""2026-06-26 13:21:18"", ""scheduled_window_end"": ""2026-06-26 14:21:18"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-84E45BD933DF,05_loading_orders.csv,LO-PS10-01707,"Extreme ordered_quantity_litres (950000.0L) exceeds legal road axle limit of 100,000L",RULE_EXTREME_OUTLIER,2026-09-15T14:23:37.004092,"{""order_id"": ""LO-PS10-01707"", ""omc_id"": ""rubis"", ""depot_id"": ""nairobi"", ""truck_id"": ""TRK-0117"", ""product_id"": ""AGO"", ""ordered_quantity_litres"": 950000, ""order_registered_time"": ""2026-06-26 12:35:12"", ""expected_arrival_time"": ""2026-06-26 14:25:12"", ""scheduled_window_start"": ""2026-06-26 14:10:12"", ""scheduled_window_end"": ""2026-06-26 15:10:12"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-43F3C9F5B136,05_loading_orders.csv,LO-KOTPS1-01124,Duplicate order_id 'LO-KOTPS1-01124' detected,RULE_UNIQUE_ORDER_ID,2026-09-15T14:23:37.021808,"{""order_id"": ""LO-KOTPS1-01124"", ""omc_id"": ""rubis"", ""depot_id"": ""nairobi"", ""truck_id"": ""TRK-0070"", ""product_id"": ""AGO"", ""ordered_quantity_litres"": 38000, ""order_registered_time"": ""2026-06-28 09:21:27"", ""expected_arrival_time"": ""2026-06-28 10:15:27"", ""scheduled_window_start"": ""2026-06-28 10:00:27"", ""scheduled_window_end"": ""2026-06-28 11:00:27"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-194429A3C4D6,05_loading_orders.csv,LO-PS27-01229,Unknown truck_id 'nan' foreign key reference,RULE_UNKNOWN_FOREIGN_KEY,2026-09-15T14:23:37.028991,"{""order_id"": ""LO-PS27-01229"", ""omc_id"": ""lakeoil"", ""depot_id"": ""eldoret"", ""truck_id"": NaN, ""product_id"": ""JET-A1"", ""ordered_quantity_litres"": 28000, ""order_registered_time"": ""2026-06-29 14:26:05"", ""expected_arrival_time"": ""2026-06-29 16:37:05"", ""scheduled_window_start"": ""2026-06-29 16:22:05"", ""scheduled_window_end"": ""2026-06-29 17:22:05"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-8CDB592C55ED,05_loading_orders.csv,LO-PS10-01974,Unknown truck_id 'nan' foreign key reference,RULE_UNKNOWN_FOREIGN_KEY,2026-09-15T14:23:37.082286,"{""order_id"": ""LO-PS10-01974"", ""omc_id"": ""vivo"", ""depot_id"": ""nairobi"", ""truck_id"": NaN, ""product_id"": ""AGO"", ""ordered_quantity_litres"": 28000, ""order_registered_time"": ""2026-07-02 06:33:21"", ""expected_arrival_time"": ""2026-07-02 08:53:21"", ""scheduled_window_start"": ""2026-07-02 08:38:21"", ""scheduled_window_end"": ""2026-07-02 09:38:21"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-C741DE8C295A,05_loading_orders.csv,LO-KOTPS1-01696,Non-positive ordered_quantity_litres (-36000.0L),RULE_NEGATIVE_QUANTITY,2026-09-15T14:23:37.084871,"{""order_id"": ""LO-KOTPS1-01696"", ""omc_id"": ""hass"", ""depot_id"": ""mombasa"", ""truck_id"": ""TRK-0709"", ""product_id"": ""AGO"", ""ordered_quantity_litres"": -36000, ""order_registered_time"": ""2026-07-02 06:58:53"", ""expected_arrival_time"": ""2026-07-02 08:47:53"", ""scheduled_window_start"": ""2026-07-02 08:32:53"", ""scheduled_window_end"": ""2026-07-02 09:32:53"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-30E0BD1ECE0C,05_loading_orders.csv,LO-PS27-01312,"Extreme ordered_quantity_litres (950000.0L) exceeds legal road axle limit of 100,000L",RULE_EXTREME_OUTLIER,2026-09-15T14:23:37.102442,"{""order_id"": ""LO-PS27-01312"", ""omc_id"": ""ola"", ""depot_id"": ""eldoret"", ""truck_id"": ""TRK-0202"", ""product_id"": ""PMS"", ""ordered_quantity_litres"": 950000, ""order_registered_time"": ""2026-07-04 09:32:34"", ""expected_arrival_time"": ""2026-07-04 10:54:34"", ""scheduled_window_start"": ""2026-07-04 10:39:34"", ""scheduled_window_end"": ""2026-07-04 11:39:34"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
Q-A14077C83FC5,05_loading_orders.csv,LO-KOTPS1-01768,Unknown depot_id 'marsabit' foreign key reference,RULE_UNKNOWN_FOREIGN_KEY,2026-09-15T14:23:37.109180,"{""order_id"": ""LO-KOTPS1-01768"", ""omc_id"": ""ola"", ""depot_id"": ""marsabit"", ""truck_id"": ""TRK-0477"", ""product_id"": ""DPK"", ""ordered_quantity_litres"": 36000, ""order_registered_time"": ""2026-07-05 15:44:57"", ""expected_arrival_time"": ""2026-07-05 17:52:57"", ""scheduled_window_start"": ""2026-07-05 17:37:57"", ""scheduled_window_end"": ""2026-07-05 18:37:57"", ""order_status"": ""COMPLETED"", ""cancellation_reason"": NaN}"
