quarantine_id,source_table,source_row_id,failure_reason,validation_rule,quarantined_at,raw_record_payload
Q-E725D2BB2EF0,06_gate_events.csv,GE-0000703,Gate event references quarantined or non-existent order_id 'LO-PS10-01098',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:38.638673,"{""gate_event_id"": ""GE-0000703"", ""order_id"": ""LO-PS10-01098"", ""depot_id"": ""nairobi"", ""truck_id"": ""TRK-0676"", ""event_type"": ""ARRIVAL"", ""event_timestamp"": ""2026-06-12 12:45:13"", ""tare_weight_kg"": 0, ""gross_weight_kg"": 0, ""rfid_transponder_id"": ""RFID-KBT262B"", ""gate_lane"": ""Outer Lane 1""}"
Q-EA18D5FE152F,06_gate_events.csv,GE-0000704,Gate event references quarantined or non-existent order_id 'LO-PS10-01098',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:38.638778,"{""gate_event_id"": ""GE-0000704"", ""order_id"": ""LO-PS10-01098"", ""depot_id"": ""nairobi"", ""truck_id"": ""TRK-0676"", ""event_type"": ""GATE_IN"", ""event_timestamp"": ""2026-06-12 12:51:13"", ""tare_weight_kg"": 14264, ""gross_weight_kg"": 0, ""rfid_transponder_id"": ""RFID-KBT262B"", ""gate_lane"": ""Tare Scale 2""}"
Q-E668F2B838C6,06_gate_events.csv,GE-0000705,Gate event references quarantined or non-existent order_id 'LO-PS10-01098',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:38.638911,"{""gate_event_id"": ""GE-0000705"", ""order_id"": ""LO-PS10-01098"", ""depot_id"": ""nairobi"", ""truck_id"": ""TRK-0676"", ""event_type"": ""GATE_OUT"", ""event_timestamp"": ""2026-06-12 14:14:28"", ""tare_weight_kg"": 14264, ""gross_weight_kg"": 41600, ""rfid_transponder_id"": ""RFID-KBT262B"", ""gate_lane"": ""Gross Weighbridge Platform 2""}"
Q-965AF938755A,06_gate_events.csv,GE-0001264,Gate event references quarantined or non-existent order_id 'LO-KOTPS1-01115',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:38.681740,"{""gate_event_id"": ""GE-0001264"", ""order_id"": ""LO-KOTPS1-01115"", ""depot_id"": ""mombasa"", ""truck_id"": ""TRK-0239"", ""event_type"": ""ARRIVAL"", ""event_timestamp"": ""2026-06-15 10:32:23"", ""tare_weight_kg"": 0, ""gross_weight_kg"": 0, ""rfid_transponder_id"": ""RFID-KCH760N"", ""gate_lane"": ""Outer Lane 2""}"
Q-8026B65A6C04,06_gate_events.csv,GE-0001265,Gate event references quarantined or non-existent order_id 'LO-KOTPS1-01115',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:38.681835,"{""gate_event_id"": ""GE-0001265"", ""order_id"": ""LO-KOTPS1-01115"", ""depot_id"": ""mombasa"", ""truck_id"": ""TRK-0239"", ""event_type"": ""GATE_IN"", ""event_timestamp"": ""2026-06-15 10:42:23"", ""tare_weight_kg"": 15577, ""gross_weight_kg"": 0, ""rfid_transponder_id"": ""RFID-KCH760N"", ""gate_lane"": ""Tare Scale 2""}"
Q-2460F67B312C,06_gate_events.csv,GE-0001266,Gate event references quarantined or non-existent order_id 'LO-KOTPS1-01115',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:38.681923,"{""gate_event_id"": ""GE-0001266"", ""order_id"": ""LO-KOTPS1-01115"", ""depot_id"": ""mombasa"", ""truck_id"": ""TRK-0239"", ""event_type"": ""GATE_OUT"", ""event_timestamp"": ""2026-06-15 11:52:13"", ""tare_weight_kg"": 15577, ""gross_weight_kg"": 43887, ""rfid_transponder_id"": ""RFID-KCH760N"", ""gate_lane"": ""Gross Weighbridge Platform 2""}"
Q-85CDC1B1C60B,06_gate_events.csv,GE-0002956,Gate event references quarantined or non-existent order_id 'LO-KOTPS1-01271',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:38.814640,"{""gate_event_id"": ""GE-0002956"", ""order_id"": ""LO-KOTPS1-01271"", ""depot_id"": ""mombasa"", ""truck_id"": ""TRK-0011"", ""event_type"": ""ARRIVAL"", ""event_timestamp"": ""2026-06-19 19:24:55"", ""tare_weight_kg"": 0, ""gross_weight_kg"": 0, ""rfid_transponder_id"": ""RFID-KCT612V"", ""gate_lane"": ""Outer Lane 3""}"
Q-14627BB978F6,06_gate_events.csv,GE-0002957,Gate event references quarantined or non-existent order_id 'LO-KOTPS1-01271',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:38.814791,"{""gate_event_id"": ""GE-0002957"", ""order_id"": ""LO-KOTPS1-01271"", ""depot_id"": ""mombasa"", ""truck_id"": ""TRK-0011"", ""event_type"": ""GATE_IN"", ""event_timestamp"": ""2026-06-19 19:31:55"", ""tare_weight_kg"": 16092, ""gross_weight_kg"": 0, ""rfid_transponder_id"": ""RFID-KCT612V"", ""gate_lane"": ""Tare Scale 2""}"
Q-BB368FBDE6C8,06_gate_events.csv,GE-0002958,Gate event references quarantined or non-existent order_id 'LO-KOTPS1-01271',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:38.814938,"{""gate_event_id"": ""GE-0002958"", ""order_id"": ""LO-KOTPS1-01271"", ""depot_id"": ""mombasa"", ""truck_id"": ""TRK-0011"", ""event_type"": ""GATE_OUT"", ""event_timestamp"": ""2026-06-19 20:57:42"", ""tare_weight_kg"": 16092, ""gross_weight_kg"": 45892, ""rfid_transponder_id"": ""RFID-KCT612V"", ""gate_lane"": ""Gross Weighbridge Platform 1""}"
Q-1B67B1CC78FD,06_gate_events.csv,GE-0002983,Gate event references quarantined or non-existent order_id 'LO-PS25-01156',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:38.816860,"{""gate_event_id"": ""GE-0002983"", ""order_id"": ""LO-PS25-01156"", ""depot_id"": ""nakuru"", ""truck_id"": ""TRK-0303"", ""event_type"": ""ARRIVAL"", ""event_timestamp"": ""2026-06-19 13:37:49"", ""tare_weight_kg"": 0, ""gross_weight_kg"": 0, ""rfid_transponder_id"": ""RFID-KDM697A"", ""gate_lane"": ""Outer Lane 3""}"
