quarantine_id,source_table,source_row_id,failure_reason,validation_rule,quarantined_at,raw_record_payload
Q-4858FCF24C68,08_staging_events.csv,STG-000215,Negative staging wait duration (-8.5 mins),RULE_NEGATIVE_DURATION,2026-09-15T14:23:57.910444,"{""staging_id"": ""STG-000215"", ""order_id"": ""LO-PS25-01033"", ""depot_id"": ""nakuru"", ""staging_area_id"": ""Staging Bay B2"", ""queue_entry_time"": ""2026-06-12 15:32:50"", ""queue_exit_time"": ""2026-06-12 15:49:22"", ""wait_duration_minutes"": -8.5, ""queue_reason"": ""NOMINAL_FLOW"", ""initial_predicted_wait_min"": 15.8}"
Q-54EFCF2075D7,08_staging_events.csv,STG-000230,Staging event references quarantined or non-existent order_id 'LO-PS10-01098',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:57.912551,"{""staging_id"": ""STG-000230"", ""order_id"": ""LO-PS10-01098"", ""depot_id"": ""nairobi"", ""staging_area_id"": ""Staging Bay A5"", ""queue_entry_time"": ""2026-06-12 13:17:10"", ""queue_exit_time"": ""2026-06-12 13:32:51"", ""wait_duration_minutes"": 15.68, ""queue_reason"": ""ARRIVAL_CLUSTERING"", ""initial_predicted_wait_min"": 17.2}"
Q-5EBD08011BBA,08_staging_events.csv,STG-000412,Staging event references quarantined or non-existent order_id 'LO-KOTPS1-01115',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:57.932876,"{""staging_id"": ""STG-000412"", ""order_id"": ""LO-KOTPS1-01115"", ""depot_id"": ""mombasa"", ""staging_area_id"": ""Staging Bay C1"", ""queue_entry_time"": ""2026-06-15 10:54:09"", ""queue_exit_time"": ""2026-06-15 11:08:56"", ""wait_duration_minutes"": 14.79, ""queue_reason"": ""ARRIVAL_CLUSTERING"", ""initial_predicted_wait_min"": 14.2}"
Q-6D798B771706,08_staging_events.csv,STG-000961,Staging event references quarantined or non-existent order_id 'LO-KOTPS1-01271',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:57.979810,"{""staging_id"": ""STG-000961"", ""order_id"": ""LO-KOTPS1-01271"", ""depot_id"": ""mombasa"", ""staging_area_id"": ""Staging Bay C2"", ""queue_entry_time"": ""2026-06-19 19:53:48"", ""queue_exit_time"": ""2026-06-19 20:04:27"", ""wait_duration_minutes"": 10.64, ""queue_reason"": ""NOMINAL_FLOW"", ""initial_predicted_wait_min"": 11.4}"
Q-6BEF276FC4F1,08_staging_events.csv,STG-000970,Staging event references quarantined or non-existent order_id 'LO-PS25-01156',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:57.980535,"{""staging_id"": ""STG-000970"", ""order_id"": ""LO-PS25-01156"", ""depot_id"": ""nakuru"", ""staging_area_id"": ""Staging Bay B4"", ""queue_entry_time"": ""2026-06-19 14:09:37"", ""queue_exit_time"": ""2026-06-19 14:27:04"", ""wait_duration_minutes"": 17.46, ""queue_reason"": ""LOADING_CAPACITY_PRESSURE"", ""initial_predicted_wait_min"": 15.4}"
Q-D0C270760815,08_staging_events.csv,STG-001214,Staging event references quarantined or non-existent order_id 'LO-PS10-01499',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:57.999407,"{""staging_id"": ""STG-001214"", ""order_id"": ""LO-PS10-01499"", ""depot_id"": ""nairobi"", ""staging_area_id"": ""Staging Bay C3"", ""queue_entry_time"": ""2026-06-22 12:42:39"", ""queue_exit_time"": ""2026-06-22 13:01:24"", ""wait_duration_minutes"": 18.75, ""queue_reason"": ""ARRIVAL_CLUSTERING"", ""initial_predicted_wait_min"": 17.6}"
Q-32E0AE7E8884,08_staging_events.csv,STG-001259,Staging event references quarantined or non-existent order_id 'LO-PS28-01110',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:58.003104,"{""staging_id"": ""STG-001259"", ""order_id"": ""LO-PS28-01110"", ""depot_id"": ""kisumu"", ""staging_area_id"": ""Staging Bay A2"", ""queue_entry_time"": ""2026-06-22 14:49:53"", ""queue_exit_time"": ""2026-06-22 15:07:01"", ""wait_duration_minutes"": 17.14, ""queue_reason"": ""ARRIVAL_CLUSTERING"", ""initial_predicted_wait_min"": 14.9}"
Q-24756F6983C5,08_staging_events.csv,STG-001271,Staging event references quarantined or non-existent order_id 'LO-PS25-01209',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:58.004152,"{""staging_id"": ""STG-001271"", ""order_id"": ""LO-PS25-01209"", ""depot_id"": ""nakuru"", ""staging_area_id"": ""Staging Bay C2"", ""queue_entry_time"": ""2026-06-22 13:32:45"", ""queue_exit_time"": ""2026-06-22 14:01:21"", ""wait_duration_minutes"": 28.61, ""queue_reason"": ""ARRIVAL_CLUSTERING"", ""initial_predicted_wait_min"": 26.2}"
Q-8BA3144D7B7B,08_staging_events.csv,STG-001295,Negative staging wait duration (-8.5 mins),RULE_NEGATIVE_DURATION,2026-09-15T14:23:58.006495,"{""staging_id"": ""STG-001295"", ""order_id"": ""LO-PS10-01531"", ""depot_id"": ""nairobi"", ""staging_area_id"": ""Staging Bay A1"", ""queue_entry_time"": ""2026-06-23 12:27:06"", ""queue_exit_time"": ""2026-06-23 13:11:53"", ""wait_duration_minutes"": -8.5, ""queue_reason"": ""ARRIVAL_CLUSTERING"", ""initial_predicted_wait_min"": 50.7}"
Q-C60C1825653B,08_staging_events.csv,STG-001320,Staging event references quarantined or non-existent order_id 'LO-PS10-01538',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:58.009418,"{""staging_id"": ""STG-001320"", ""order_id"": ""LO-PS10-01538"", ""depot_id"": ""nairobi"", ""staging_area_id"": ""Staging Bay A4"", ""queue_entry_time"": ""2026-06-23 11:26:04"", ""queue_exit_time"": ""2026-06-23 12:07:43"", ""wait_duration_minutes"": 41.64, ""queue_reason"": ""ARRIVAL_CLUSTERING"", ""initial_predicted_wait_min"": 44.5}"
