quarantine_id,source_table,source_row_id,failure_reason,validation_rule,quarantined_at,raw_record_payload
Q-765297DA0697,09_loading_events.csv,LDG-000230,Loading event references quarantined or non-existent order_id 'LO-PS10-01098',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:59.199218,"{""loading_event_id"": ""LDG-000230"", ""order_id"": ""LO-PS10-01098"", ""depot_id"": ""nairobi"", ""loading_position_id"": ""NBO-P08"", ""loading_start"": ""2026-06-12 13:33:51"", ""loading_end"": ""2026-06-12 14:02:09"", ""planned_quantity_litres"": 34000, ""actual_quantity_litres"": 34000, ""loading_duration_minutes"": 28.31, ""avg_flow_rate_lpm"": 1528, ""dual_arm_used"": false, ""loading_status"": ""COMPLETED"", ""exception_reason"": NaN}"
Q-779403B6DE32,09_loading_events.csv,LDG-000412,Loading event references quarantined or non-existent order_id 'LO-KOTPS1-01115',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:59.229811,"{""loading_event_id"": ""LDG-000412"", ""order_id"": ""LO-KOTPS1-01115"", ""depot_id"": ""mombasa"", ""loading_position_id"": ""MBA-P02"", ""loading_start"": ""2026-06-15 11:11:56"", ""loading_end"": ""2026-06-15 11:37:57"", ""planned_quantity_litres"": 38000, ""actual_quantity_litres"": 38000, ""loading_duration_minutes"": 26.01, ""avg_flow_rate_lpm"": 2227, ""dual_arm_used"": true, ""loading_status"": ""COMPLETED"", ""exception_reason"": NaN}"
Q-0D32B498EF22,09_loading_events.csv,LDG-000961,Loading event references quarantined or non-existent order_id 'LO-KOTPS1-01271',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:59.285142,"{""loading_event_id"": ""LDG-000961"", ""order_id"": ""LO-KOTPS1-01271"", ""depot_id"": ""mombasa"", ""loading_position_id"": ""MBA-P01"", ""loading_start"": ""2026-06-19 20:06:27"", ""loading_end"": ""2026-06-19 20:42:28"", ""planned_quantity_litres"": 40000, ""actual_quantity_litres"": 40000, ""loading_duration_minutes"": 36.03, ""avg_flow_rate_lpm"": 1552, ""dual_arm_used"": false, ""loading_status"": ""COMPLETED"", ""exception_reason"": NaN}"
Q-4FCD814E39C9,09_loading_events.csv,LDG-000970,Loading event references quarantined or non-existent order_id 'LO-PS25-01156',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:59.286006,"{""loading_event_id"": ""LDG-000970"", ""order_id"": ""LO-PS25-01156"", ""depot_id"": ""nakuru"", ""loading_position_id"": ""NKR-P04"", ""loading_start"": ""2026-06-19 14:28:04"", ""loading_end"": ""2026-06-19 14:57:19"", ""planned_quantity_litres"": 40000, ""actual_quantity_litres"": 40000, ""loading_duration_minutes"": 29.24, ""avg_flow_rate_lpm"": 2227, ""dual_arm_used"": true, ""loading_status"": ""COMPLETED"", ""exception_reason"": NaN}"
Q-3871E27060E9,09_loading_events.csv,LDG-001193,Negative meter loading duration (-15.0 mins),RULE_NEGATIVE_DURATION,2026-09-15T14:23:59.305775,"{""loading_event_id"": ""LDG-001193"", ""order_id"": ""LO-PS10-01490"", ""depot_id"": ""nairobi"", ""loading_position_id"": ""NBO-P08"", ""loading_start"": ""2026-06-22 16:51:02"", ""loading_end"": ""2026-06-22 17:20:12"", ""planned_quantity_litres"": 38000, ""actual_quantity_litres"": 38000, ""loading_duration_minutes"": -15.0, ""avg_flow_rate_lpm"": 1658, ""dual_arm_used"": false, ""loading_status"": ""COMPLETED"", ""exception_reason"": NaN}"
Q-9EE18454A239,09_loading_events.csv,LDG-001214,Loading event references quarantined or non-existent order_id 'LO-PS10-01499',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:59.307607,"{""loading_event_id"": ""LDG-001214"", ""order_id"": ""LO-PS10-01499"", ""depot_id"": ""nairobi"", ""loading_position_id"": ""NBO-P03"", ""loading_start"": ""2026-06-22 13:04:24"", ""loading_end"": ""2026-06-22 13:32:36"", ""planned_quantity_litres"": 28000, ""actual_quantity_litres"": 28000, ""loading_duration_minutes"": 28.21, ""avg_flow_rate_lpm"": 1584, ""dual_arm_used"": false, ""loading_status"": ""COMPLETED"", ""exception_reason"": NaN}"
Q-C2452FFBFA64,09_loading_events.csv,LDG-001259,Loading event references quarantined or non-existent order_id 'LO-PS28-01110',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:59.311337,"{""loading_event_id"": ""LDG-001259"", ""order_id"": ""LO-PS28-01110"", ""depot_id"": ""kisumu"", ""loading_position_id"": ""KSM-P03"", ""loading_start"": ""2026-06-22 15:10:01"", ""loading_end"": ""2026-06-22 15:44:48"", ""planned_quantity_litres"": 38000, ""actual_quantity_litres"": 38000, ""loading_duration_minutes"": 34.78, ""avg_flow_rate_lpm"": 1606, ""dual_arm_used"": false, ""loading_status"": ""COMPLETED"", ""exception_reason"": NaN}"
Q-BBE1A1B17747,09_loading_events.csv,LDG-001271,Loading event references quarantined or non-existent order_id 'LO-PS25-01209',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:59.312357,"{""loading_event_id"": ""LDG-001271"", ""order_id"": ""LO-PS25-01209"", ""depot_id"": ""nakuru"", ""loading_position_id"": ""NKR-P01"", ""loading_start"": ""2026-06-22 14:02:21"", ""loading_end"": ""2026-06-22 14:27:46"", ""planned_quantity_litres"": 40000, ""actual_quantity_litres"": 40000, ""loading_duration_minutes"": 25.41, ""avg_flow_rate_lpm"": 2160, ""dual_arm_used"": true, ""loading_status"": ""COMPLETED"", ""exception_reason"": NaN}"
Q-D320AA9BD7BD,09_loading_events.csv,LDG-001320,Loading event references quarantined or non-existent order_id 'LO-PS10-01538',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:59.316954,"{""loading_event_id"": ""LDG-001320"", ""order_id"": ""LO-PS10-01538"", ""depot_id"": ""nairobi"", ""loading_position_id"": ""NBO-P04"", ""loading_start"": ""2026-06-23 12:09:43"", ""loading_end"": ""2026-06-23 12:35:21"", ""planned_quantity_litres"": 28000, ""actual_quantity_litres"": 28000, ""loading_duration_minutes"": 25.65, ""avg_flow_rate_lpm"": 1663, ""dual_arm_used"": false, ""loading_status"": ""COMPLETED"", ""exception_reason"": NaN}"
Q-4C7E6986E31E,09_loading_events.csv,LDG-001433,Loading event references quarantined or non-existent order_id 'LO-PS10-01585',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:23:59.327486,"{""loading_event_id"": ""LDG-001433"", ""order_id"": ""LO-PS10-01585"", ""depot_id"": ""nairobi"", ""loading_position_id"": ""NBO-P08"", ""loading_start"": ""2026-06-24 10:05:36"", ""loading_end"": ""2026-06-24 10:37:18"", ""planned_quantity_litres"": 38000, ""actual_quantity_litres"": 38000, ""loading_duration_minutes"": 31.71, ""avg_flow_rate_lpm"": 1619, ""dual_arm_used"": false, ""loading_status"": ""COMPLETED"", ""exception_reason"": NaN}"
