quarantine_id,source_table,source_row_id,failure_reason,validation_rule,quarantined_at,raw_record_payload
Q-7D030DC888BE,13_arrival_signals.csv,SIG-000219,Arrival signal references quarantined or non-existent order_id 'LO-PS10-01098',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:00.817951,"{""signal_id"": ""SIG-000219"", ""order_id"": ""LO-PS10-01098"", ""signal_source"": ""OPTIONAL_TELEMATICS"", ""signal_timestamp"": ""2026-06-12 11:09:42"", ""signal_quality"": ""HIGH"", ""estimated_distance_km"": 34.6, ""predicted_arrival_window_start"": ""2026-06-12 12:38:42"", ""predicted_arrival_window_end"": ""2026-06-12 13:05:42"", ""confidence_pct"": 92}"
Q-15F0A3A6A238,13_arrival_signals.csv,SIG-000396,Arrival signal references quarantined or non-existent order_id 'LO-KOTPS1-01115',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:00.828384,"{""signal_id"": ""SIG-000396"", ""order_id"": ""LO-KOTPS1-01115"", ""signal_source"": ""OPTIONAL_TRAFFIC_SIGNAL"", ""signal_timestamp"": ""2026-06-15 08:19:09"", ""signal_quality"": ""MEDIUM"", ""estimated_distance_km"": 52.1, ""predicted_arrival_window_start"": ""2026-06-15 10:12:09"", ""predicted_arrival_window_end"": ""2026-06-15 10:39:09"", ""confidence_pct"": 78}"
Q-C3DDD83EF851,13_arrival_signals.csv,SIG-000794,Arrival signal references quarantined or non-existent order_id 'LO-PS28-01078',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:00.850849,"{""signal_id"": ""SIG-000794"", ""order_id"": ""LO-PS28-01078"", ""signal_source"": ""OPTIONAL_TELEMATICS"", ""signal_timestamp"": ""2026-06-18 13:14:01"", ""signal_quality"": ""HIGH"", ""estimated_distance_km"": 62.7, ""predicted_arrival_window_start"": ""2026-06-18 15:08:01"", ""predicted_arrival_window_end"": ""2026-06-18 15:35:01"", ""confidence_pct"": 82}"
Q-6A9E433E94A7,13_arrival_signals.csv,SIG-000930,Arrival signal references quarantined or non-existent order_id 'LO-KOTPS1-01271',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:00.858236,"{""signal_id"": ""SIG-000930"", ""order_id"": ""LO-KOTPS1-01271"", ""signal_source"": ""OPTIONAL_TRAFFIC_SIGNAL"", ""signal_timestamp"": ""2026-06-19 17:19:53"", ""signal_quality"": ""MEDIUM"", ""estimated_distance_km"": 16.9, ""predicted_arrival_window_start"": ""2026-06-19 19:00:53"", ""predicted_arrival_window_end"": ""2026-06-19 19:27:53"", ""confidence_pct"": 85}"
Q-BBFAD9258423,13_arrival_signals.csv,SIG-000939,Arrival signal references quarantined or non-existent order_id 'LO-PS25-01156',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:00.858806,"{""signal_id"": ""SIG-000939"", ""order_id"": ""LO-PS25-01156"", ""signal_source"": ""OPTIONAL_TELEMATICS"", ""signal_timestamp"": ""2026-06-19 12:35:06"", ""signal_quality"": ""HIGH"", ""estimated_distance_km"": 40.2, ""predicted_arrival_window_start"": ""2026-06-19 13:17:06"", ""predicted_arrival_window_end"": ""2026-06-19 13:44:06"", ""confidence_pct"": 85}"
Q-D8CFE6068A0F,13_arrival_signals.csv,SIG-001171,Arrival signal references quarantined or non-existent order_id 'LO-PS10-01499',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:00.876378,"{""signal_id"": ""SIG-001171"", ""order_id"": ""LO-PS10-01499"", ""signal_source"": ""HISTORICAL_BASELINE"", ""signal_timestamp"": ""2026-06-22 11:55:58"", ""signal_quality"": ""BASELINE"", ""estimated_distance_km"": 23.8, ""predicted_arrival_window_start"": ""2026-06-22 12:27:58"", ""predicted_arrival_window_end"": ""2026-06-22 12:54:58"", ""confidence_pct"": 70}"
Q-3F9D5E62500A,13_arrival_signals.csv,SIG-001214,Arrival signal references quarantined or non-existent order_id 'LO-PS28-01110',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:00.879563,"{""signal_id"": ""SIG-001214"", ""order_id"": ""LO-PS28-01110"", ""signal_source"": ""HISTORICAL_BASELINE"", ""signal_timestamp"": ""2026-06-22 12:00:38"", ""signal_quality"": ""BASELINE"", ""estimated_distance_km"": 48.8, ""predicted_arrival_window_start"": ""2026-06-22 13:53:38"", ""predicted_arrival_window_end"": ""2026-06-22 14:20:38"", ""confidence_pct"": 72}"
Q-599AB9B061FD,13_arrival_signals.csv,SIG-001226,Arrival signal references quarantined or non-existent order_id 'LO-PS25-01209',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:00.880636,"{""signal_id"": ""SIG-001226"", ""order_id"": ""LO-PS25-01209"", ""signal_source"": ""HISTORICAL_BASELINE"", ""signal_timestamp"": ""2026-06-22 11:20:53"", ""signal_quality"": ""BASELINE"", ""estimated_distance_km"": 46.9, ""predicted_arrival_window_start"": ""2026-06-22 12:27:53"", ""predicted_arrival_window_end"": ""2026-06-22 12:54:53"", ""confidence_pct"": 75}"
Q-F6A873655879,13_arrival_signals.csv,SIG-001274,Arrival signal references quarantined or non-existent order_id 'LO-PS10-01538',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:00.884244,"{""signal_id"": ""SIG-001274"", ""order_id"": ""LO-PS10-01538"", ""signal_source"": ""OPTIONAL_TRAFFIC_SIGNAL"", ""signal_timestamp"": ""2026-06-23 09:36:55"", ""signal_quality"": ""MEDIUM"", ""estimated_distance_km"": 58.9, ""predicted_arrival_window_start"": ""2026-06-23 10:45:55"", ""predicted_arrival_window_end"": ""2026-06-23 11:12:55"", ""confidence_pct"": 74}"
Q-9647AEAF6B43,13_arrival_signals.csv,SIG-001386,Arrival signal references quarantined or non-existent order_id 'LO-PS10-01585',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:00.891997,"{""signal_id"": ""SIG-001386"", ""order_id"": ""LO-PS10-01585"", ""signal_source"": ""HISTORICAL_BASELINE"", ""signal_timestamp"": ""2026-06-24 08:12:57"", ""signal_quality"": ""BASELINE"", ""estimated_distance_km"": 16.3, ""predicted_arrival_window_start"": ""2026-06-24 09:01:57"", ""predicted_arrival_window_end"": ""2026-06-24 09:28:57"", ""confidence_pct"": 64}"
