quarantine_id,source_table,source_row_id,failure_reason,validation_rule,quarantined_at,raw_record_payload
Q-5EA97F613707,14_notifications.csv,NOTIF-00002,Notification references quarantined order_id 'LO-PS27-1288',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:01.756665,"{""notification_id"": ""NOTIF-00002"", ""order_id"": ""LO-PS27-1288"", ""omc_id"": ""lakeoil"", ""depot_id"": ""eldoret"", ""recipient_role"": ""OMC"", ""notification_type"": ""INSTRUCTION_UPDATE"", ""priority"": ""IMPORTANT"", ""title"": ""Collection Re-sequenced at Eldoret Depot (PS27)"", ""message"": ""Autonomous queue deconfliction has recovered estimated 19m turnaround delay."", ""previous_timing"": ""+32m projected delay"", ""new_timing"": ""+13m adjusted window"", ""timestamp"": ""2026-06-11 15:00:29"", ""requires_acknowledgement"": false, ""is_acknowledged"": true, ""acknowledged_at"": ""2026-06-11 15:02:29""}"
Q-59E6D3936CE6,14_notifications.csv,NOTIF-00003,Notification references quarantined order_id 'LO-PS27-1545',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:01.756856,"{""notification_id"": ""NOTIF-00003"", ""order_id"": ""LO-PS27-1545"", ""omc_id"": ""rubis"", ""depot_id"": ""eldoret"", ""recipient_role"": ""DRIVER"", ""notification_type"": ""INSTRUCTION_UPDATE"", ""priority"": ""IMPORTANT"", ""title"": ""Collection Re-sequenced at Eldoret Depot (PS27)"", ""message"": ""Autonomous queue deconfliction has recovered estimated 15m turnaround delay."", ""previous_timing"": ""+24m projected delay"", ""new_timing"": ""+9m adjusted window"", ""timestamp"": ""2026-06-12 10:00:47"", ""requires_acknowledgement"": false, ""is_acknowledged"": true, ""acknowledged_at"": ""2026-06-12 10:02:47""}"
Q-C6543CE7639B,14_notifications.csv,NOTIF-00004,Notification references quarantined order_id 'LO-PS25-1375',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:01.756994,"{""notification_id"": ""NOTIF-00004"", ""order_id"": ""LO-PS25-1375"", ""omc_id"": ""hass"", ""depot_id"": ""nakuru"", ""recipient_role"": ""DRIVER"", ""notification_type"": ""PREDICTED_GATE_OUT_CHANGE"", ""priority"": ""INFO"", ""title"": ""Collection Re-sequenced at Nakuru Depot (PS25)"", ""message"": ""Autonomous queue deconfliction has recovered estimated 5m turnaround delay."", ""previous_timing"": ""+7m projected delay"", ""new_timing"": ""+2m adjusted window"", ""timestamp"": ""2026-06-13 19:00:43"", ""requires_acknowledgement"": false, ""is_acknowledged"": true, ""acknowledged_at"": ""2026-06-13 19:02:43""}"
Q-8E6FFF390353,14_notifications.csv,NOTIF-00005,Notification references quarantined order_id 'LO-KOTPS1-3870',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:01.757126,"{""notification_id"": ""NOTIF-00005"", ""order_id"": ""LO-KOTPS1-3870"", ""omc_id"": ""rubis"", ""depot_id"": ""mombasa"", ""recipient_role"": ""OMC"", ""notification_type"": ""PREDICTED_GATE_OUT_CHANGE"", ""priority"": ""IMPORTANT"", ""title"": ""Collection Re-sequenced at Mombasa Terminal (KOT-PS1)"", ""message"": ""Autonomous queue deconfliction has recovered estimated 27m turnaround delay."", ""previous_timing"": ""+39m projected delay"", ""new_timing"": ""+12m adjusted window"", ""timestamp"": ""2026-06-14 13:00:24"", ""requires_acknowledgement"": false, ""is_acknowledged"": true, ""acknowledged_at"": ""2026-06-14 13:02:24""}"
Q-7C6055B0BCB0,14_notifications.csv,NOTIF-00006,Notification references quarantined order_id 'LO-PS27-8360',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:01.757257,"{""notification_id"": ""NOTIF-00006"", ""order_id"": ""LO-PS27-8360"", ""omc_id"": ""ola"", ""depot_id"": ""eldoret"", ""recipient_role"": ""OMC"", ""notification_type"": ""PREDICTED_GATE_OUT_CHANGE"", ""priority"": ""IMPORTANT"", ""title"": ""Collection Re-sequenced at Eldoret Depot (PS27)"", ""message"": ""Autonomous queue deconfliction has recovered estimated 28m turnaround delay."", ""previous_timing"": ""+43m projected delay"", ""new_timing"": ""+15m adjusted window"", ""timestamp"": ""2026-06-15 06:00:21"", ""requires_acknowledgement"": false, ""is_acknowledged"": true, ""acknowledged_at"": ""2026-06-15 06:02:21""}"
Q-F6D76111420A,14_notifications.csv,NOTIF-00007,Notification references quarantined order_id 'LO-KOTPS1-4967',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:01.757387,"{""notification_id"": ""NOTIF-00007"", ""order_id"": ""LO-KOTPS1-4967"", ""omc_id"": ""rubis"", ""depot_id"": ""mombasa"", ""recipient_role"": ""DRIVER"", ""notification_type"": ""PREDICTED_GATE_OUT_CHANGE"", ""priority"": ""INFO"", ""title"": ""Collection Re-sequenced at Mombasa Terminal (KOT-PS1)"", ""message"": ""Autonomous queue deconfliction has recovered estimated 12m turnaround delay."", ""previous_timing"": ""+17m projected delay"", ""new_timing"": ""+5m adjusted window"", ""timestamp"": ""2026-06-15 10:00:20"", ""requires_acknowledgement"": false, ""is_acknowledged"": true, ""acknowledged_at"": ""2026-06-15 10:02:20""}"
Q-8B3D82161538,14_notifications.csv,NOTIF-00008,Notification references quarantined order_id 'LO-PS10-5237',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:01.757516,"{""notification_id"": ""NOTIF-00008"", ""order_id"": ""LO-PS10-5237"", ""omc_id"": ""hass"", ""depot_id"": ""nairobi"", ""recipient_role"": ""DRIVER"", ""notification_type"": ""PREDICTED_GATE_OUT_CHANGE"", ""priority"": ""INFO"", ""title"": ""Collection Re-sequenced at Nairobi Terminal (PS10)"", ""message"": ""Autonomous queue deconfliction has recovered estimated 11m turnaround delay."", ""previous_timing"": ""+19m projected delay"", ""new_timing"": ""+8m adjusted window"", ""timestamp"": ""2026-06-15 16:00:43"", ""requires_acknowledgement"": false, ""is_acknowledged"": true, ""acknowledged_at"": ""2026-06-15 16:02:43""}"
Q-2148CB6F9721,14_notifications.csv,NOTIF-00009,Notification references quarantined order_id 'LO-PS10-7061',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:01.757642,"{""notification_id"": ""NOTIF-00009"", ""order_id"": ""LO-PS10-7061"", ""omc_id"": ""hass"", ""depot_id"": ""nairobi"", ""recipient_role"": ""DRIVER"", ""notification_type"": ""INSTRUCTION_UPDATE"", ""priority"": ""IMPORTANT"", ""title"": ""Collection Re-sequenced at Nairobi Terminal (PS10)"", ""message"": ""Autonomous queue deconfliction has recovered estimated 28m turnaround delay."", ""previous_timing"": ""+41m projected delay"", ""new_timing"": ""+13m adjusted window"", ""timestamp"": ""2026-06-16 12:00:30"", ""requires_acknowledgement"": false, ""is_acknowledged"": true, ""acknowledged_at"": ""2026-06-16 12:02:30""}"
Q-33481734C27F,14_notifications.csv,NOTIF-00010,Notification references quarantined order_id 'LO-PS10-3126',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:01.757775,"{""notification_id"": ""NOTIF-00010"", ""order_id"": ""LO-PS10-3126"", ""omc_id"": ""rubis"", ""depot_id"": ""nairobi"", ""recipient_role"": ""DRIVER"", ""notification_type"": ""PREDICTED_GATE_OUT_CHANGE"", ""priority"": ""IMPORTANT"", ""title"": ""Collection Re-sequenced at Nairobi Terminal (PS10)"", ""message"": ""Autonomous queue deconfliction has recovered estimated 11m turnaround delay."", ""previous_timing"": ""+18m projected delay"", ""new_timing"": ""+7m adjusted window"", ""timestamp"": ""2026-06-16 20:00:20"", ""requires_acknowledgement"": false, ""is_acknowledged"": true, ""acknowledged_at"": ""2026-06-16 20:02:20""}"
Q-066FFD3C2780,14_notifications.csv,NOTIF-00011,Notification references quarantined order_id 'LO-PS27-8322',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:01.757906,"{""notification_id"": ""NOTIF-00011"", ""order_id"": ""LO-PS27-8322"", ""omc_id"": ""rubis"", ""depot_id"": ""eldoret"", ""recipient_role"": ""DRIVER"", ""notification_type"": ""PREDICTED_GATE_OUT_CHANGE"", ""priority"": ""IMPORTANT"", ""title"": ""Collection Re-sequenced at Eldoret Depot (PS27)"", ""message"": ""Autonomous queue deconfliction has recovered estimated 33m turnaround delay."", ""previous_timing"": ""+44m projected delay"", ""new_timing"": ""+11m adjusted window"", ""timestamp"": ""2026-06-18 00:00:41"", ""requires_acknowledgement"": false, ""is_acknowledged"": true, ""acknowledged_at"": ""2026-06-18 00:02:41""}"
Q-3131C58A02C8,14_notifications.csv,NOTIF-00012,Notification references quarantined order_id 'LO-KOTPS1-4190',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:01.758046,"{""notification_id"": ""NOTIF-00012"", ""order_id"": ""LO-KOTPS1-4190"", ""omc_id"": ""hass"", ""depot_id"": ""mombasa"", ""recipient_role"": ""DRIVER"", ""notification_type"": ""INSTRUCTION_UPDATE"", ""priority"": ""IMPORTANT"", ""title"": ""Collection Re-sequenced at Mombasa Terminal (KOT-PS1)"", ""message"": ""Autonomous queue deconfliction has recovered estimated 28m turnaround delay."", ""previous_timing"": ""+41m projected delay"", ""new_timing"": ""+13m adjusted window"", ""timestamp"": ""2026-06-18 12:00:39"", ""requires_acknowledgement"": false, ""is_acknowledged"": true, ""acknowledged_at"": ""2026-06-18 12:02:39""}"
Q-94BFC6183787,14_notifications.csv,NOTIF-00013,Notification references quarantined order_id 'LO-PS28-2437',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:01.758169,"{""notification_id"": ""NOTIF-00013"", ""order_id"": ""LO-PS28-2437"", ""omc_id"": ""lakeoil"", ""depot_id"": ""kisumu"", ""recipient_role"": ""OMC"", ""notification_type"": ""PREDICTED_GATE_OUT_CHANGE"", ""priority"": ""INFO"", ""title"": ""Collection Re-sequenced at Kisumu Depot (PS28)"", ""message"": ""Autonomous queue deconfliction has recovered estimated 14m turnaround delay."", ""previous_timing"": ""+19m projected delay"", ""new_timing"": ""+5m adjusted window"", ""timestamp"": ""2026-06-19 00:00:26"", ""requires_acknowledgement"": false, ""is_acknowledged"": true, ""acknowledged_at"": ""2026-06-19 00:02:26""}"
Q-26C42BA00651,14_notifications.csv,NOTIF-00014,Notification references quarantined order_id 'LO-PS10-1460',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:01.758291,"{""notification_id"": ""NOTIF-00014"", ""order_id"": ""LO-PS10-1460"", ""omc_id"": ""totalenergies"", ""depot_id"": ""nairobi"", ""recipient_role"": ""DRIVER"", ""notification_type"": ""PREDICTED_GATE_OUT_CHANGE"", ""priority"": ""IMPORTANT"", ""title"": ""Collection Re-sequenced at Nairobi Terminal (PS10)"", ""message"": ""Autonomous queue deconfliction has recovered estimated 7m turnaround delay."", ""previous_timing"": ""+12m projected delay"", ""new_timing"": ""+5m adjusted window"", ""timestamp"": ""2026-06-20 08:00:22"", ""requires_acknowledgement"": false, ""is_acknowledged"": true, ""acknowledged_at"": ""2026-06-20 08:02:22""}"
Q-55C2423788CF,14_notifications.csv,NOTIF-00015,Notification references quarantined order_id 'LO-PS10-6701',RULE_ORPHANED_FOREIGN_KEY,2026-09-15T14:24:01.758413,"{""notification_id"": ""NOTIF-00015"", ""order_id"": ""LO-PS10-6701"", ""omc_id"": ""hass"", ""depot_id"": ""nairobi"", ""recipient_role"": ""OMC"", ""notification_type"": ""PREDICTED_GATE_OUT_CHANGE"", ""priority"": ""IMPORTANT"", ""title"": ""Collection Re-sequenced at Nairobi Terminal (PS10)"", ""message"": ""Autonomous queue deconfliction has recovered estimated 8m turnaround delay."", ""previous_timing"": ""+12m projected delay"", ""new_timing"": ""+4m adjusted window"", ""timestamp"": ""2026-06-21 05:00:25"", ""requires_acknowledgement"": false, ""is_acknowledged"": true, ""acknowledged_at"": ""2026-06-21 05:02:25""}"
