order_id,omc_id,depot_id,truck_id,product_id,ordered_quantity_litres,order_registered_time,expected_arrival_time,scheduled_window_start,scheduled_window_end,order_status,cancellation_reason
LO-NBO-8821,vivo,nairobi,TRK-0001,AGO,36000,2026-09-15 07:15:00,2026-09-15 10:15:00,2026-09-15 10:00:00,2026-09-15 10:45:00,COMPLETED,
LO-PS28-01001,hass,kisumu,TRK-0421,PMS,28000,2026-06-11 14:15:02,2026-06-11 15:13:02,2026-06-11 14:58:02,2026-06-11 15:58:02,COMPLETED,
LO-PS10-01001,totalenergies,nairobi,TRK-0109,AGO,34000,2026-06-11 09:29:27,2026-06-11 10:41:27,2026-06-11 10:26:27,2026-06-11 11:26:27,COMPLETED,
LO-PS10-01002,petrocity,nairobi,TRK-0653,PMS,36000,2026-06-11 08:15:07,2026-06-11 09:32:07,2026-06-11 09:17:07,2026-06-11 10:17:07,COMPLETED,
LO-PS25-01001,rubis,nakuru,TRK-0107,PMS,38000,2026-06-11 14:27:18,2026-06-11 16:39:18,2026-06-11 16:24:18,2026-06-11 17:24:18,COMPLETED,
LO-PS10-01003,rubis,nairobi,TRK-0361,PMS,32000,2026-06-11 09:29:04,2026-06-11 10:14:04,2026-06-11 09:59:04,2026-06-11 10:59:04,COMPLETED,
LO-KOTPS1-01001,hass,mombasa,TRK-0528,AGO,36000,2026-06-11 12:12:11,2026-06-11 13:51:11,2026-06-11 13:36:11,2026-06-11 14:36:11,COMPLETED,
LO-PS10-01004,ola,nairobi,TRK-0001,AGO,36000,2026-06-11 09:38:27,2026-06-11 10:27:27,2026-06-11 10:12:27,2026-06-11 11:12:27,COMPLETED,
LO-KOTPS1-01002,totalenergies,mombasa,TRK-0128,AGO,40000,2026-06-11 10:34:16,2026-06-11 12:38:16,2026-06-11 12:23:16,2026-06-11 13:23:16,COMPLETED,
LO-KOTPS1-01003,totalenergies,mombasa,TRK-0373,AGO,28000,2026-06-11 11:10:59,2026-06-11 13:06:59,2026-06-11 12:51:59,2026-06-11 13:51:59,COMPLETED,
LO-PS25-01002,rubis,nakuru,TRK-0306,AGO,28000,2026-06-11 11:14:24,2026-06-11 12:03:24,2026-06-11 11:48:24,2026-06-11 12:48:24,COMPLETED,
LO-PS27-01001,vivo,eldoret,TRK-0472,PMS,34000,2026-06-11 11:39:17,2026-06-11 14:02:17,2026-06-11 13:47:17,2026-06-11 14:47:17,COMPLETED,
LO-PS10-01005,lakeoil,nairobi,TRK-0301,PMS,40000,2026-06-11 15:03:31,2026-06-11 17:19:31,2026-06-11 17:04:31,2026-06-11 18:04:31,COMPLETED,
LO-KOTPS1-01004,ola,mombasa,TRK-0564,PMS,38000,2026-06-11 11:08:10,2026-06-11 12:00:10,2026-06-11 11:45:10,2026-06-11 12:45:10,COMPLETED,
LO-PS27-01002,ola,eldoret,TRK-0706,DPK,40000,2026-06-11 15:19:35,2026-06-11 16:44:35,2026-06-11 16:29:35,2026-06-11 17:29:35,COMPLETED,
LO-PS10-01006,vivo,nairobi,TRK-0435,PMS,34000,2026-06-11 08:43:56,2026-06-11 10:37:56,2026-06-11 10:22:56,2026-06-11 11:22:56,COMPLETED,
LO-PS10-01007,totalenergies,nairobi,TRK-0521,PMS,40000,2026-06-11 14:16:26,2026-06-11 16:21:26,2026-06-11 16:06:26,2026-06-11 17:06:26,COMPLETED,
LO-PS25-01003,rubis,nakuru,TRK-0537,AGO,40000,2026-06-11 10:24:29,2026-06-11 11:41:29,2026-06-11 11:26:29,2026-06-11 12:26:29,COMPLETED,
LO-PS10-01008,totalenergies,nairobi,TRK-0319,DPK,28000,2026-06-11 14:58:47,2026-06-11 16:01:47,2026-06-11 15:46:47,2026-06-11 16:46:47,COMPLETED,
LO-PS10-01009,ola,nairobi,TRK-0053,PMS,34000,2026-06-11 09:25:51,2026-06-11 10:18:51,2026-06-11 10:03:51,2026-06-11 11:03:51,COMPLETED,
LO-PS10-01010,rubis,nairobi,TRK-0671,AGO,40000,2026-06-11 15:13:15,2026-06-11 16:51:15,2026-06-11 16:36:15,2026-06-11 17:36:15,COMPLETED,
LO-PS25-01004,ola,nakuru,TRK-0427,AGO,32000,2026-06-11 14:02:57,2026-06-11 16:01:57,2026-06-11 15:46:57,2026-06-11 16:46:57,COMPLETED,
LO-PS27-01003,petrocity,eldoret,TRK-0541,PMS,40000,2026-06-11 10:38:38,2026-06-11 13:02:38,2026-06-11 12:47:38,2026-06-11 13:47:38,COMPLETED,
LO-PS25-01005,vivo,nakuru,TRK-0707,PMS,36000,2026-06-11 08:24:28,2026-06-11 09:58:28,2026-06-11 09:43:28,2026-06-11 10:43:28,COMPLETED,
