gate_event_id,order_id,depot_id,truck_id,event_type,event_timestamp,tare_weight_kg,gross_weight_kg,rfid_transponder_id,gate_lane
GE-NBO-DEMO-01,LO-NBO-8821,nairobi,TRK-0001,ARRIVAL,2026-09-15 10:18:12,0,0,RFID-KDD412X-01,Outer Lane 2
GE-NBO-DEMO-02,LO-NBO-8821,nairobi,TRK-0001,GATE_IN,2026-09-15 10:24:05,14820,0,RFID-KDD412X-01,Tare Weighbridge Scale 1
GE-NBO-DEMO-03,LO-NBO-8821,nairobi,TRK-0001,GATE_OUT,2026-09-15 11:02:00,14820,45060,RFID-KDD412X-01,Gross Weighbridge Exit 1
GE-0000001,LO-PS28-01001,kisumu,TRK-0421,ARRIVAL,2026-06-11 15:19:09,0,0,RFID-KBL180W,Outer Lane 2
GE-0000002,LO-PS28-01001,kisumu,TRK-0421,GATE_IN,2026-06-11 15:27:09,12890,0,RFID-KBL180W,Tare Scale 1
GE-0000003,LO-PS28-01001,kisumu,TRK-0421,GATE_OUT,2026-06-11 16:52:14,12890,33750,RFID-KBL180W,Gross Weighbridge Platform 2
GE-0000004,LO-PS10-01001,nairobi,TRK-0109,ARRIVAL,2026-06-11 10:36:38,0,0,RFID-KDK405M,Outer Lane 1
GE-0000005,LO-PS10-01001,nairobi,TRK-0109,GATE_IN,2026-06-11 10:52:38,14320,0,RFID-KDK405M,Tare Scale 2
GE-0000006,LO-PS10-01001,nairobi,TRK-0109,GATE_OUT,2026-06-11 12:03:38,14320,42880,RFID-KDK405M,Gross Weighbridge Platform 2
GE-0000007,LO-PS10-01002,nairobi,TRK-0653,ARRIVAL,2026-06-11 09:54:26,0,0,RFID-KDR903H,Outer Lane 2
GE-0000008,LO-PS10-01002,nairobi,TRK-0653,GATE_IN,2026-06-11 09:59:26,14455,0,RFID-KDR903H,Tare Scale 2
GE-0000009,LO-PS10-01002,nairobi,TRK-0653,GATE_OUT,2026-06-11 11:31:04,14455,41275,RFID-KDR903H,Gross Weighbridge Platform 1
GE-0000010,LO-PS25-01001,nakuru,TRK-0107,ARRIVAL,2026-06-11 16:24:56,0,0,RFID-KDU397L,Outer Lane 3
GE-0000011,LO-PS25-01001,nakuru,TRK-0107,GATE_IN,2026-06-11 16:34:56,15529,0,RFID-KDU397L,Tare Scale 2
GE-0000012,LO-PS25-01001,nakuru,TRK-0107,GATE_OUT,2026-06-11 18:07:50,15529,43839,RFID-KDU397L,Gross Weighbridge Platform 1
GE-0000013,LO-PS10-01003,nairobi,TRK-0361,ARRIVAL,2026-06-11 10:31:19,0,0,RFID-KCZ489D,Outer Lane 2
GE-0000014,LO-PS10-01003,nairobi,TRK-0361,GATE_IN,2026-06-11 10:46:19,13530,0,RFID-KCZ489D,Tare Scale 2
GE-0000015,LO-PS10-01003,nairobi,TRK-0361,GATE_OUT,2026-06-11 12:22:02,13530,37370,RFID-KCZ489D,Gross Weighbridge Platform 2
GE-0000016,LO-KOTPS1-01001,mombasa,TRK-0528,ARRIVAL,2026-06-11 14:21:20,0,0,RFID-KDE467A,Outer Lane 2
GE-0000017,LO-KOTPS1-01001,mombasa,TRK-0528,GATE_IN,2026-06-11 14:31:20,14526,0,RFID-KDE467A,Tare Scale 2
GE-0000018,LO-KOTPS1-01001,mombasa,TRK-0528,GATE_OUT,2026-06-11 15:37:27,14526,44766,RFID-KDE467A,Gross Weighbridge Platform 1
GE-0000019,LO-PS10-01004,nairobi,TRK-0001,ARRIVAL,2026-06-11 10:32:32,0,0,RFID-KDD412X,Outer Lane 1
GE-0000020,LO-PS10-01004,nairobi,TRK-0001,GATE_IN,2026-06-11 10:41:32,14820,0,RFID-KDD412X,Tare Scale 2
GE-0000021,LO-PS10-01004,nairobi,TRK-0001,GATE_OUT,2026-06-11 12:20:11,14820,45060,RFID-KDD412X,Gross Weighbridge Platform 1
GE-0000022,LO-KOTPS1-01002,mombasa,TRK-0128,ARRIVAL,2026-06-11 12:55:11,0,0,RFID-KDB261R,Outer Lane 1
GE-0000023,LO-KOTPS1-01002,mombasa,TRK-0128,GATE_IN,2026-06-11 13:03:11,16167,0,RFID-KDB261R,Tare Scale 1
GE-0000024,LO-KOTPS1-01002,mombasa,TRK-0128,GATE_OUT,2026-06-11 14:39:41,16167,49767,RFID-KDB261R,Gross Weighbridge Platform 2
GE-0000025,LO-KOTPS1-01003,mombasa,TRK-0373,ARRIVAL,2026-06-11 13:32:16,0,0,RFID-KCV688M,Outer Lane 3
GE-0000026,LO-KOTPS1-01003,mombasa,TRK-0373,GATE_IN,2026-06-11 13:40:16,13093,0,RFID-KCV688M,Tare Scale 2
GE-0000027,LO-KOTPS1-01003,mombasa,TRK-0373,GATE_OUT,2026-06-11 15:32:14,13093,36613,RFID-KCV688M,Gross Weighbridge Platform 1
GE-0000028,LO-PS25-01002,nakuru,TRK-0306,ARRIVAL,2026-06-11 12:15:43,0,0,RFID-KBC598N,Outer Lane 3
GE-0000029,LO-PS25-01002,nakuru,TRK-0306,GATE_IN,2026-06-11 12:27:43,12738,0,RFID-KBC598N,Tare Scale 2
GE-0000030,LO-PS25-01002,nakuru,TRK-0306,GATE_OUT,2026-06-11 14:03:01,12738,36258,RFID-KBC598N,Gross Weighbridge Platform 1
GE-0000031,LO-PS27-01001,eldoret,TRK-0472,ARRIVAL,2026-06-11 14:52:54,0,0,RFID-KBR415S,Outer Lane 1
GE-0000032,LO-PS27-01001,eldoret,TRK-0472,GATE_IN,2026-06-11 15:07:54,14096,0,RFID-KBR415S,Tare Scale 1
GE-0000033,LO-PS27-01001,eldoret,TRK-0472,GATE_OUT,2026-06-11 16:46:16,14096,39426,RFID-KBR415S,Gross Weighbridge Platform 1
