staging_id,order_id,depot_id,staging_area_id,queue_entry_time,queue_exit_time,wait_duration_minutes,queue_reason,initial_predicted_wait_min
STG-NBO-DEMO-01,LO-NBO-8821,nairobi,Staging Bay B04,2026-09-15 10:31:00,2026-09-15 10:33:45,2.75,AUTONOMOUS_DECONFLICTION_ROUTING,25.0
STG-000001,LO-PS28-01001,kisumu,Staging Bay C3,2026-06-11 15:38:38,2026-06-11 16:14:04,35.44,ARRIVAL_CLUSTERING,33.5
STG-000002,LO-PS10-01001,nairobi,Staging Bay A3,2026-06-11 11:06:07,2026-06-11 11:24:57,18.84,ARRIVAL_CLUSTERING,21.0
STG-000003,LO-PS10-01002,nairobi,Staging Bay B2,2026-06-11 10:19:44,2026-06-11 10:43:36,23.86,ARRIVAL_CLUSTERING,22.4
STG-000004,LO-PS25-01001,nakuru,Staging Bay A1,2026-06-11 16:54:27,2026-06-11 17:20:49,26.36,ARRIVAL_CLUSTERING,24.0
STG-000005,LO-PS10-01003,nairobi,Staging Bay B5,2026-06-11 11:05:18,2026-06-11 11:38:30,33.2,ARRIVAL_CLUSTERING,33.9
STG-000006,LO-KOTPS1-01001,mombasa,Staging Bay A1,2026-06-11 14:48:02,2026-06-11 15:05:15,17.22,LOADING_CAPACITY_PRESSURE,18.5
STG-000007,LO-PS10-01004,nairobi,Staging Bay A3,2026-06-11 10:56:45,2026-06-11 11:33:19,36.58,ARRIVAL_CLUSTERING,40.3
STG-000008,LO-KOTPS1-01002,mombasa,Staging Bay C2,2026-06-11 13:17:43,2026-06-11 13:52:19,34.6,ARRIVAL_CLUSTERING,33.9
STG-000009,LO-KOTPS1-01003,mombasa,Staging Bay B3,2026-06-11 14:01:25,2026-06-11 14:48:54,47.47,ARRIVAL_CLUSTERING,44.2
STG-000010,LO-PS25-01002,nakuru,Staging Bay A1,2026-06-11 12:38:00,2026-06-11 13:18:31,40.51,ARRIVAL_CLUSTERING,42.0
STG-000011,LO-PS27-01001,eldoret,Staging Bay A2,2026-06-11 15:18:56,2026-06-11 16:02:16,43.33,ARRIVAL_CLUSTERING,47.3
STG-000012,LO-PS10-01005,nairobi,Staging Bay B1,2026-06-11 18:00:13,2026-06-11 18:35:44,35.52,ARRIVAL_CLUSTERING,40.3
STG-000013,LO-KOTPS1-01004,mombasa,Staging Bay B3,2026-06-11 12:49:30,2026-06-11 13:24:29,34.97,ARRIVAL_CLUSTERING,30.9
STG-000014,LO-PS27-01002,eldoret,Staging Bay A3,2026-06-11 17:10:46,2026-06-11 17:45:28,34.68,ARRIVAL_CLUSTERING,32.3
STG-000015,LO-PS10-01006,nairobi,Staging Bay C3,2026-06-11 11:05:14,2026-06-11 11:26:09,20.92,ARRIVAL_CLUSTERING,22.3
STG-000016,LO-PS10-01007,nairobi,Staging Bay C3,2026-06-11 17:00:32,2026-06-11 17:18:05,17.55,ARRIVAL_CLUSTERING,17.3
STG-000017,LO-PS25-01003,nakuru,Staging Bay C3,2026-06-11 11:58:18,2026-06-11 12:45:35,47.29,ARRIVAL_CLUSTERING,44.6
STG-000018,LO-PS10-01008,nairobi,Staging Bay C4,2026-06-11 16:14:26,2026-06-11 16:40:48,26.37,ARRIVAL_CLUSTERING,25.2
STG-000019,LO-PS10-01009,nairobi,Staging Bay B2,2026-06-11 10:21:38,2026-06-11 10:46:35,24.95,ARRIVAL_CLUSTERING,25.7
STG-000020,LO-PS10-01010,nairobi,Staging Bay B2,2026-06-11 17:05:14,2026-06-11 17:52:33,47.31,ARRIVAL_CLUSTERING,46.5
STG-000021,LO-PS25-01004,nakuru,Staging Bay A5,2026-06-11 16:18:35,2026-06-11 16:49:44,31.15,ARRIVAL_CLUSTERING,27.5
STG-000022,LO-PS27-01003,eldoret,Staging Bay B3,2026-06-11 13:54:08,2026-06-11 14:26:51,32.7,ARRIVAL_CLUSTERING,34.6
STG-000023,LO-PS25-01005,nakuru,Staging Bay B2,2026-06-11 10:59:03,2026-06-11 11:27:10,28.12,ARRIVAL_CLUSTERING,24.4
STG-000024,LO-KOTPS1-01005,mombasa,Staging Bay A3,2026-06-11 20:08:43,2026-06-11 20:18:39,9.93,LOADING_CAPACITY_PRESSURE,10.4
STG-000025,LO-KOTPS1-01006,mombasa,Staging Bay A4,2026-06-11 07:40:57,2026-06-11 07:47:04,6.11,LOADING_CAPACITY_PRESSURE,6.7
STG-000026,LO-PS27-01004,eldoret,Staging Bay C4,2026-06-11 10:18:24,2026-06-11 10:28:52,10.47,LOADING_CAPACITY_PRESSURE,9.1
STG-000027,LO-KOTPS1-01007,mombasa,Staging Bay C2,2026-06-11 12:27:49,2026-06-11 13:13:17,45.46,ARRIVAL_CLUSTERING,41.4
STG-000028,LO-PS10-01011,nairobi,Staging Bay A1,2026-06-11 12:00:21,2026-06-11 12:32:27,32.09,ARRIVAL_CLUSTERING,36.8
STG-000029,LO-PS10-01012,nairobi,Staging Bay C1,2026-06-11 11:18:25,2026-06-11 11:56:00,37.59,ARRIVAL_CLUSTERING,39.4
STG-000030,LO-PS10-01013,nairobi,Staging Bay A3,2026-06-11 09:35:22,2026-06-11 09:43:59,8.61,LOADING_CAPACITY_PRESSURE,8.7
STG-000031,LO-PS10-01014,nairobi,Staging Bay A1,2026-06-11 08:33:44,2026-06-11 08:46:12,12.46,LOADING_CAPACITY_PRESSURE,11.9
STG-000032,LO-PS25-01006,nakuru,Staging Bay C4,2026-06-11 09:47:15,2026-06-11 09:57:02,9.79,NOMINAL_FLOW,8.8
STG-000033,LO-KOTPS1-01009,mombasa,Staging Bay B2,2026-06-11 10:46:39,2026-06-11 11:09:19,22.68,ARRIVAL_CLUSTERING,22.2
STG-000034,LO-KOTPS1-01010,mombasa,Staging Bay A1,2026-06-11 10:12:44,2026-06-11 10:44:50,32.09,ARRIVAL_CLUSTERING,31.5
STG-000035,LO-KOTPS1-01011,mombasa,Staging Bay A1,2026-06-11 10:05:22,2026-06-11 10:19:31,14.15,LOADING_CAPACITY_PRESSURE,13.3
STG-000036,LO-PS28-01002,kisumu,Staging Bay A4,2026-06-11 13:05:56,2026-06-11 13:36:38,30.69,ARRIVAL_CLUSTERING,33.1
STG-000037,LO-PS28-01003,kisumu,Staging Bay B3,2026-06-11 09:38:25,2026-06-11 09:52:52,14.44,LOADING_CAPACITY_PRESSURE,14.5
STG-000038,LO-KOTPS1-01012,mombasa,Staging Bay C5,2026-06-11 19:26:59,2026-06-11 19:45:32,18.56,ARRIVAL_CLUSTERING,18.7
STG-000039,LO-PS25-01007,nakuru,Staging Bay B3,2026-06-11 14:36:22,2026-06-11 15:03:41,27.3,ARRIVAL_CLUSTERING,30.7
STG-000040,LO-KOTPS1-01013,mombasa,Staging Bay A3,2026-06-11 11:30:55,2026-06-11 11:54:03,23.14,ARRIVAL_CLUSTERING,22.8
STG-000041,LO-PS10-01018,nairobi,Staging Bay A5,2026-06-11 08:53:42,2026-06-11 09:03:51,10.16,NOMINAL_FLOW,10.9
STG-000042,LO-PS10-01019,nairobi,Staging Bay A5,2026-06-11 15:48:42,2026-06-11 16:06:26,17.73,NOMINAL_FLOW,15.8
STG-000043,LO-KOTPS1-01014,mombasa,Staging Bay A2,2026-06-11 11:03:15,2026-06-11 11:42:28,39.21,ARRIVAL_CLUSTERING,33.8
STG-000044,LO-KOTPS1-01015,mombasa,Staging Bay B3,2026-06-11 13:31:50,2026-06-11 13:48:35,16.74,ARRIVAL_CLUSTERING,14.5
STG-000045,LO-PS10-01020,nairobi,Staging Bay A5,2026-06-11 14:19:01,2026-06-11 14:55:30,36.49,ARRIVAL_CLUSTERING,31.9
STG-000046,LO-PS10-01021,nairobi,Staging Bay C4,2026-06-11 13:40:38,2026-06-11 14:16:54,36.26,ARRIVAL_CLUSTERING,31.0
STG-000047,LO-KOTPS1-01016,mombasa,Staging Bay B4,2026-06-11 12:59:06,2026-06-11 13:19:22,20.27,ARRIVAL_CLUSTERING,19.2
STG-000048,LO-KOTPS1-01017,mombasa,Staging Bay A4,2026-06-11 11:09:00,2026-06-11 11:26:12,17.2,ARRIVAL_CLUSTERING,15.9
STG-000049,LO-PS27-01005,eldoret,Staging Bay B3,2026-06-11 16:36:21,2026-06-11 17:00:48,24.45,ARRIVAL_CLUSTERING,28.0
STG-000050,LO-KOTPS1-01018,mombasa,Staging Bay B1,2026-06-11 16:25:50,2026-06-11 16:36:53,11.06,NOMINAL_FLOW,10.2
STG-000051,LO-PS27-01006,eldoret,Staging Bay B2,2026-06-11 17:13:18,2026-06-11 18:00:12,46.89,ARRIVAL_CLUSTERING,43.5
STG-000052,LO-KOTPS1-01019,mombasa,Staging Bay A2,2026-06-11 14:41:30,2026-06-11 15:05:37,24.12,ARRIVAL_CLUSTERING,26.0
STG-000053,LO-PS27-01007,eldoret,Staging Bay C3,2026-06-11 11:19:05,2026-06-11 12:05:34,46.48,ARRIVAL_CLUSTERING,52.8
STG-000054,LO-PS28-01004,kisumu,Staging Bay A4,2026-06-11 10:57:07,2026-06-11 11:40:49,43.69,ARRIVAL_CLUSTERING,37.6
STG-000055,LO-PS27-01008,eldoret,Staging Bay A5,2026-06-11 13:19:15,2026-06-11 13:41:16,22.02,ARRIVAL_CLUSTERING,23.2
STG-000056,LO-KOTPS1-01020,mombasa,Staging Bay B3,2026-06-11 09:45:25,2026-06-11 09:59:27,14.03,NOMINAL_FLOW,12.1
STG-000057,LO-PS27-01009,eldoret,Staging Bay B3,2026-06-11 12:38:41,2026-06-11 13:19:15,40.55,ARRIVAL_CLUSTERING,40.6
STG-000058,LO-KOTPS1-01021,mombasa,Staging Bay C4,2026-06-11 11:36:51,2026-06-11 12:23:50,46.98,ARRIVAL_CLUSTERING,43.8
STG-000059,LO-PS25-01008,nakuru,Staging Bay C4,2026-06-11 13:38:00,2026-06-11 14:11:43,33.72,ARRIVAL_CLUSTERING,33.3
STG-000060,LO-KOTPS1-01022,mombasa,Staging Bay C5,2026-06-11 09:48:42,2026-06-11 09:57:51,9.14,LOADING_CAPACITY_PRESSURE,9.2
STG-000061,LO-PS10-01022,nairobi,Staging Bay A4,2026-06-11 10:49:54,2026-06-11 10:54:20,4.43,NOMINAL_FLOW,4.5
STG-000062,LO-PS10-01023,nairobi,Staging Bay A4,2026-06-11 14:01:39,2026-06-11 14:32:31,30.87,ARRIVAL_CLUSTERING,26.6
STG-000063,LO-PS10-01024,nairobi,Staging Bay C4,2026-06-11 15:18:36,2026-06-11 15:27:51,9.25,NOMINAL_FLOW,8.4
STG-000064,LO-PS10-01025,nairobi,Staging Bay B1,2026-06-11 18:53:59,2026-06-11 19:00:35,6.6,NOMINAL_FLOW,6.7
STG-000065,LO-PS25-01009,nakuru,Staging Bay B4,2026-06-11 15:07:47,2026-06-11 15:18:03,10.26,NOMINAL_FLOW,11.6
STG-000066,LO-PS25-01010,nakuru,Staging Bay B3,2026-06-11 18:37:43,2026-06-11 19:06:28,28.74,ARRIVAL_CLUSTERING,25.4
STG-000067,LO-PS27-01010,eldoret,Staging Bay C1,2026-06-11 15:03:00,2026-06-11 15:17:08,14.13,NOMINAL_FLOW,13.6
STG-000068,LO-PS28-01005,kisumu,Staging Bay C4,2026-06-11 10:33:10,2026-06-11 10:49:55,16.76,NOMINAL_FLOW,19.2
STG-000069,LO-PS10-01026,nairobi,Staging Bay A3,2026-06-11 07:48:25,2026-06-11 08:02:11,13.78,NOMINAL_FLOW,13.5
STG-000070,LO-PS25-01011,nakuru,Staging Bay C4,2026-06-11 09:11:14,2026-06-11 09:25:17,14.06,LOADING_CAPACITY_PRESSURE,12.5
STG-000071,LO-PS10-01027,nairobi,Staging Bay A1,2026-06-11 11:12:46,2026-06-11 11:29:49,17.05,ARRIVAL_CLUSTERING,15.7
STG-000072,LO-PS25-01012,nakuru,Staging Bay B3,2026-06-11 11:25:27,2026-06-11 12:07:15,41.81,ARRIVAL_CLUSTERING,45.7
STG-000073,LO-PS10-01028,nairobi,Staging Bay A5,2026-06-11 10:41:30,2026-06-11 10:57:41,16.19,ARRIVAL_CLUSTERING,13.8
STG-000074,LO-PS28-01006,kisumu,Staging Bay A2,2026-06-11 10:56:14,2026-06-11 11:01:36,5.37,LOADING_CAPACITY_PRESSURE,5.8
STG-000075,LO-KOTPS1-01023,mombasa,Staging Bay B4,2026-06-11 15:56:48,2026-06-11 16:16:46,19.96,ARRIVAL_CLUSTERING,19.9
STG-000076,LO-KOTPS1-01024,mombasa,Staging Bay B1,2026-06-11 19:39:41,2026-06-11 19:57:13,17.53,NOMINAL_FLOW,16.6
STG-000077,LO-PS10-01029,nairobi,Staging Bay B4,2026-06-11 09:55:57,2026-06-11 10:40:37,44.66,ARRIVAL_CLUSTERING,46.3
STG-000078,LO-PS10-01030,nairobi,Staging Bay C5,2026-06-11 17:16:40,2026-06-11 17:44:19,27.66,ARRIVAL_CLUSTERING,26.6
STG-000079,LO-PS25-01013,nakuru,Staging Bay A3,2026-06-11 13:01:26,2026-06-11 13:31:24,29.95,ARRIVAL_CLUSTERING,26.9
STG-000080,LO-KOTPS1-01025,mombasa,Staging Bay B4,2026-06-11 10:48:43,2026-06-11 11:00:42,11.98,NOMINAL_FLOW,10.5
STG-000081,LO-PS10-01031,nairobi,Staging Bay B2,2026-06-11 11:13:52,2026-06-11 11:29:52,15.99,ARRIVAL_CLUSTERING,15.6
STG-000082,LO-KOTPS1-01026,mombasa,Staging Bay C2,2026-06-11 14:16:12,2026-06-11 14:31:15,15.05,ARRIVAL_CLUSTERING,14.2
STG-000083,LO-PS27-01011,eldoret,Staging Bay A4,2026-06-11 10:59:49,2026-06-11 11:30:30,30.69,ARRIVAL_CLUSTERING,34.9
STG-000084,LO-PS25-01014,nakuru,Staging Bay B1,2026-06-11 13:37:58,2026-06-11 14:16:35,38.61,ARRIVAL_CLUSTERING,37.5
STG-000085,LO-KOTPS1-01027,mombasa,Staging Bay C2,2026-06-11 18:55:09,2026-06-11 19:28:25,33.27,ARRIVAL_CLUSTERING,34.6
STG-000086,LO-KOTPS1-01028,mombasa,Staging Bay C4,2026-06-11 12:25:33,2026-06-11 12:40:45,15.19,ARRIVAL_CLUSTERING,15.6
STG-000087,LO-PS27-01012,eldoret,Staging Bay B5,2026-06-11 13:32:52,2026-06-11 13:49:10,16.29,ARRIVAL_CLUSTERING,15.1
STG-000088,LO-PS25-01015,nakuru,Staging Bay A4,2026-06-11 17:04:24,2026-06-11 17:43:08,38.74,ARRIVAL_CLUSTERING,36.7
STG-000089,LO-KOTPS1-01029,mombasa,Staging Bay C3,2026-06-11 13:55:17,2026-06-11 14:40:28,45.19,ARRIVAL_CLUSTERING,51.8
STG-000090,LO-KOTPS1-01030,mombasa,Staging Bay A1,2026-06-11 10:26:05,2026-06-11 10:54:24,28.31,ARRIVAL_CLUSTERING,26.3
STG-000091,LO-KOTPS1-01031,mombasa,Staging Bay A3,2026-06-11 16:19:37,2026-06-11 16:29:22,9.75,LOADING_CAPACITY_PRESSURE,10.1
STG-000092,LO-PS10-01032,nairobi,Staging Bay B1,2026-06-11 12:02:10,2026-06-11 12:40:16,38.1,ARRIVAL_CLUSTERING,36.9
STG-000093,LO-PS27-01013,eldoret,Staging Bay A2,2026-06-11 09:11:49,2026-06-11 09:21:08,9.31,NOMINAL_FLOW,10.0
STG-000094,LO-PS10-01033,nairobi,Staging Bay A1,2026-06-11 14:41:13,2026-06-11 14:45:24,4.18,NOMINAL_FLOW,3.6
STG-000095,LO-KOTPS1-01032,mombasa,Staging Bay C3,2026-06-11 08:54:58,2026-06-11 09:06:44,11.77,LOADING_CAPACITY_PRESSURE,11.4
STG-000096,LO-PS25-01016,nakuru,Staging Bay A1,2026-06-11 13:21:03,2026-06-11 13:46:16,25.22,ARRIVAL_CLUSTERING,26.1
STG-000097,LO-PS27-01014,eldoret,Staging Bay C2,2026-06-11 13:01:19,2026-06-11 13:32:19,31.0,ARRIVAL_CLUSTERING,26.7
STG-000098,LO-PS10-01034,nairobi,Staging Bay B5,2026-06-11 18:22:54,2026-06-11 19:09:00,46.11,ARRIVAL_CLUSTERING,48.2
STG-000099,LO-PS10-01035,nairobi,Staging Bay C2,2026-06-11 07:57:52,2026-06-11 08:14:35,16.71,NOMINAL_FLOW,14.4
STG-000100,LO-PS10-01036,nairobi,Staging Bay A4,2026-06-11 16:06:21,2026-06-11 16:19:11,12.84,LOADING_CAPACITY_PRESSURE,12.7
STG-000101,LO-PS10-01037,nairobi,Staging Bay A5,2026-06-11 10:12:12,2026-06-11 10:36:25,24.2,ARRIVAL_CLUSTERING,27.2
STG-000102,LO-PS28-01008,kisumu,Staging Bay C2,2026-06-11 10:45:24,2026-06-11 11:09:49,24.41,ARRIVAL_CLUSTERING,23.2
STG-000103,LO-KOTPS1-01033,mombasa,Staging Bay C2,2026-06-11 13:36:13,2026-06-11 14:21:25,45.21,ARRIVAL_CLUSTERING,46.8
STG-000104,LO-PS10-01038,nairobi,Staging Bay A4,2026-06-11 12:52:22,2026-06-11 13:14:15,21.89,ARRIVAL_CLUSTERING,23.0
STG-000105,LO-PS25-01017,nakuru,Staging Bay A2,2026-06-11 11:45:42,2026-06-11 12:13:51,28.14,ARRIVAL_CLUSTERING,26.2
STG-000106,LO-PS10-01039,nairobi,Staging Bay A2,2026-06-11 10:00:55,2026-06-11 10:35:50,34.93,ARRIVAL_CLUSTERING,33.0
STG-000107,LO-PS10-01040,nairobi,Staging Bay C4,2026-06-11 12:52:20,2026-06-11 13:26:56,34.59,ARRIVAL_CLUSTERING,36.2
STG-000108,LO-PS28-01009,kisumu,Staging Bay A4,2026-06-11 11:27:15,2026-06-11 11:41:17,14.04,ARRIVAL_CLUSTERING,14.9
STG-000109,LO-PS25-01018,nakuru,Staging Bay B5,2026-06-11 10:58:03,2026-06-11 11:15:56,17.87,LOADING_CAPACITY_PRESSURE,19.3
STG-000110,LO-KOTPS1-01034,mombasa,Staging Bay B5,2026-06-11 12:11:52,2026-06-11 12:48:28,36.61,ARRIVAL_CLUSTERING,31.3
STG-000111,LO-KOTPS1-01035,mombasa,Staging Bay B3,2026-06-11 10:42:14,2026-06-11 10:58:05,15.85,ARRIVAL_CLUSTERING,17.6
STG-000112,LO-PS10-01041,nairobi,Staging Bay B3,2026-06-11 12:55:15,2026-06-11 13:39:12,43.96,ARRIVAL_CLUSTERING,38.0
STG-000113,LO-PS10-01042,nairobi,Staging Bay C5,2026-06-11 16:03:02,2026-06-11 16:18:56,15.89,LOADING_CAPACITY_PRESSURE,15.3
STG-000114,LO-PS25-01019,nakuru,Staging Bay A1,2026-06-11 18:08:29,2026-06-11 18:40:40,32.17,ARRIVAL_CLUSTERING,29.3
STG-000115,LO-PS10-01043,nairobi,Staging Bay C3,2026-06-11 09:30:28,2026-06-11 09:40:35,10.11,LOADING_CAPACITY_PRESSURE,11.4
STG-000116,LO-KOTPS1-01036,mombasa,Staging Bay A3,2026-06-11 11:45:38,2026-06-11 12:23:15,37.63,ARRIVAL_CLUSTERING,33.8
STG-000117,LO-PS10-01044,nairobi,Staging Bay A3,2026-06-11 16:01:09,2026-06-11 16:15:41,14.53,LOADING_CAPACITY_PRESSURE,15.1
STG-000118,LO-PS10-01045,nairobi,Staging Bay C2,2026-06-11 18:35:54,2026-06-11 19:19:34,43.66,ARRIVAL_CLUSTERING,48.8
STG-000119,LO-PS10-01046,nairobi,Staging Bay C2,2026-06-11 15:32:38,2026-06-11 15:48:57,16.31,NOMINAL_FLOW,16.8
STG-000120,LO-PS10-01047,nairobi,Staging Bay C1,2026-06-11 16:59:31,2026-06-11 17:32:06,32.58,ARRIVAL_CLUSTERING,29.9
STG-000121,LO-PS10-01048,nairobi,Staging Bay A4,2026-06-11 19:56:27,2026-06-11 20:04:15,7.81,NOMINAL_FLOW,7.1
STG-000122,LO-PS10-01049,nairobi,Staging Bay C2,2026-06-11 16:39:08,2026-06-11 17:14:11,35.04,ARRIVAL_CLUSTERING,30.7
STG-000123,LO-PS25-01020,nakuru,Staging Bay C5,2026-06-11 14:53:58,2026-06-11 15:07:22,13.4,NOMINAL_FLOW,12.4
