loading_event_id,order_id,depot_id,loading_position_id,loading_start,loading_end,planned_quantity_litres,actual_quantity_litres,loading_duration_minutes,avg_flow_rate_lpm,dual_arm_used,loading_status,exception_reason
LDG-NBO-DEMO-01,LO-NBO-8821,nairobi,NBO-P04,2026-09-15 10:33:45,2026-09-15 10:52:15,36000,36000,18.5,1945,True,COMPLETED,
LDG-000001,LO-PS28-01001,kisumu,KSM-P02,2026-06-11 16:16:04,2026-06-11 16:43:51,28000,28000,27.78,1646,False,COMPLETED,
LDG-000002,LO-PS10-01001,nairobi,NBO-P04,2026-06-11 11:26:57,2026-06-11 11:49:54,34000,34000,22.94,2227,True,COMPLETED,
LDG-000003,LO-PS10-01002,nairobi,NBO-P01,2026-06-11 10:46:36,2026-06-11 11:14:02,36000,36000,27.42,1696,False,COMPLETED,
LDG-000004,LO-PS25-01001,nakuru,NKR-P01,2026-06-11 17:21:49,2026-06-11 17:54:48,38000,38000,32.98,1546,False,COMPLETED,
LDG-000005,LO-PS10-01003,nairobi,NBO-P02,2026-06-11 11:39:30,2026-06-11 12:11:17,32000,32000,31.78,1607,False,COMPLETED,
LDG-000006,LO-KOTPS1-01001,mombasa,MBA-P04,2026-06-11 15:06:15,2026-06-11 15:29:04,36000,36000,22.82,2227,True,COMPLETED,
LDG-000007,LO-PS10-01004,nairobi,NBO-P07,2026-06-11 11:36:19,2026-06-11 12:07:46,36000,36000,31.45,1698,False,COMPLETED,
LDG-000008,LO-KOTPS1-01002,mombasa,MBA-P04,2026-06-11 13:55:19,2026-06-11 14:29:50,40000,40000,34.52,1714,False,COMPLETED,
LDG-000009,LO-KOTPS1-01003,mombasa,MBA-P06,2026-06-11 14:51:54,2026-06-11 15:17:30,28000,28000,25.61,1590,False,COMPLETED,
LDG-000010,LO-PS25-01002,nakuru,NKR-P03,2026-06-11 13:20:31,2026-06-11 13:48:10,28000,28000,27.66,1687,False,COMPLETED,
LDG-000011,LO-PS27-01001,eldoret,ELD-P01,2026-06-11 16:04:16,2026-06-11 16:33:25,34000,34000,29.16,1696,False,COMPLETED,
LDG-000012,LO-PS10-01005,nairobi,NBO-P08,2026-06-11 18:36:44,2026-06-11 19:08:46,40000,40000,32.02,1568,False,COMPLETED,
LDG-000013,LO-KOTPS1-01004,mombasa,MBA-P01,2026-06-11 13:25:29,2026-06-11 13:55:22,38000,38000,29.89,1662,False,COMPLETED,
LDG-000014,LO-PS27-01002,eldoret,ELD-P06,2026-06-11 17:47:28,2026-06-11 18:18:51,40000,40000,31.39,1688,False,COMPLETED,
LDG-000015,LO-PS10-01006,nairobi,NBO-P01,2026-06-11 11:28:09,2026-06-11 11:50:30,34000,34000,22.35,2227,True,COMPLETED,
LDG-000016,LO-PS10-01007,nairobi,NBO-P01,2026-06-11 17:19:05,2026-06-11 17:44:13,40000,40000,25.13,2227,True,COMPLETED,
LDG-000017,LO-PS25-01003,nakuru,NKR-P04,2026-06-11 12:48:35,2026-06-11 13:20:21,40000,40000,31.76,1646,False,COMPLETED,
LDG-000018,LO-PS10-01008,nairobi,NBO-P05,2026-06-11 16:42:48,2026-06-11 17:07:20,28000,28000,24.53,1671,False,COMPLETED,
LDG-000019,LO-PS10-01009,nairobi,NBO-P08,2026-06-11 10:49:35,2026-06-11 11:19:44,34000,34000,30.14,1619,False,COMPLETED,
LDG-000020,LO-PS10-01010,nairobi,NBO-P07,2026-06-11 17:53:33,2026-06-11 18:23:41,40000,40000,30.15,1674,False,COMPLETED,
LDG-000021,LO-PS25-01004,nakuru,NKR-P03,2026-06-11 16:51:44,2026-06-11 17:15:55,32000,32000,24.18,2227,True,COMPLETED,
LDG-000022,LO-PS27-01003,eldoret,ELD-P02,2026-06-11 14:28:51,2026-06-11 15:04:38,40000,40000,35.79,1569,False,COMPLETED,
LDG-000023,LO-PS25-01005,nakuru,NKR-P01,2026-06-11 11:30:10,2026-06-11 11:55:09,36000,36000,24.98,2160,True,COMPLETED,
LDG-000024,LO-KOTPS1-01005,mombasa,MBA-P02,2026-06-11 20:19:39,2026-06-11 20:47:37,38000,38000,27.97,2227,True,COMPLETED,
LDG-000025,LO-KOTPS1-01006,mombasa,MBA-P05,2026-06-11 07:50:04,2026-06-11 08:23:24,36000,36000,33.35,1568,False,COMPLETED,
LDG-000026,LO-PS27-01004,eldoret,ELD-P03,2026-06-11 10:31:52,2026-06-11 11:05:06,34000,34000,33.24,1565,False,COMPLETED,
LDG-000027,LO-KOTPS1-01007,mombasa,MBA-P02,2026-06-11 13:14:17,2026-06-11 13:38:23,40000,40000,24.09,2227,True,COMPLETED,
LDG-000028,LO-PS10-01011,nairobi,NBO-P02,2026-06-11 12:35:27,2026-06-11 13:04:26,28000,28000,28.99,1628,False,COMPLETED,
LDG-000029,LO-PS10-01012,nairobi,NBO-P08,2026-06-11 11:58:00,2026-06-11 12:25:16,34000,34000,27.27,1650,False,COMPLETED,
LDG-000030,LO-PS10-01013,nairobi,NBO-P03,2026-06-11 09:45:59,2026-06-11 10:19:14,38000,38000,33.24,1622,False,COMPLETED,
LDG-000031,LO-PS10-01014,nairobi,NBO-P02,2026-06-11 08:47:12,2026-06-11 09:14:09,32000,32000,26.95,1567,False,COMPLETED,
LDG-000032,LO-PS25-01006,nakuru,NKR-P03,2026-06-11 10:00:02,2026-06-11 10:24:43,34000,34000,24.67,2227,True,COMPLETED,
LDG-000033,LO-KOTPS1-01009,mombasa,MBA-P10,2026-06-11 11:11:19,2026-06-11 11:43:21,34000,34000,32.03,1401,False,COMPLETED,
LDG-000034,LO-KOTPS1-01010,mombasa,MBA-P05,2026-06-11 10:45:50,2026-06-11 11:18:10,32000,32000,32.34,1569,False,COMPLETED,
LDG-000035,LO-KOTPS1-01011,mombasa,MBA-P02,2026-06-11 10:22:31,2026-06-11 10:50:15,28000,28000,27.75,1588,False,COMPLETED,
LDG-000036,LO-PS28-01002,kisumu,KSM-P02,2026-06-11 13:37:38,2026-06-11 14:01:27,38000,38000,23.82,2227,True,COMPLETED,
LDG-000037,LO-PS28-01003,kisumu,KSM-P02,2026-06-11 09:55:52,2026-06-11 10:25:26,36000,36000,29.58,1708,False,COMPLETED,
LDG-000038,LO-KOTPS1-01012,mombasa,MBA-P04,2026-06-11 19:48:32,2026-06-11 20:19:08,40000,40000,30.6,1629,False,COMPLETED,
LDG-000039,LO-PS25-01007,nakuru,NKR-P03,2026-06-11 15:05:41,2026-06-11 15:28:04,32000,32000,22.38,2227,True,COMPLETED,
LDG-000040,LO-KOTPS1-01013,mombasa,MBA-P10,2026-06-11 11:57:03,2026-06-11 12:31:18,36000,36000,34.24,1402,False,COMPLETED,
LDG-000041,LO-PS10-01018,nairobi,NBO-P04,2026-06-11 09:06:51,2026-06-11 09:31:24,36000,36000,24.54,2227,True,COMPLETED,
LDG-000042,LO-PS10-01019,nairobi,NBO-P05,2026-06-11 16:09:26,2026-06-11 16:35:23,40000,40000,25.95,2160,True,COMPLETED,
LDG-000043,LO-KOTPS1-01014,mombasa,MBA-P03,2026-06-11 11:45:28,2026-06-11 12:16:33,34000,34000,31.09,1665,False,COMPLETED,
LDG-000044,LO-KOTPS1-01015,mombasa,MBA-P02,2026-06-11 13:51:35,2026-06-11 14:13:39,34000,34000,22.07,2227,True,COMPLETED,
LDG-000045,LO-PS10-01020,nairobi,NBO-P07,2026-06-11 14:57:30,2026-06-11 15:26:09,34000,34000,28.64,1620,False,COMPLETED,
LDG-000046,LO-PS10-01021,nairobi,NBO-P05,2026-06-11 14:17:54,2026-06-11 14:44:33,36000,36000,26.65,2160,True,COMPLETED,
LDG-000047,LO-KOTPS1-01016,mombasa,MBA-P01,2026-06-11 13:21:22,2026-06-11 13:46:28,28000,28000,25.09,1659,False,COMPLETED,
LDG-000048,LO-KOTPS1-01017,mombasa,MBA-P02,2026-06-11 11:27:12,2026-06-11 11:57:49,36000,36000,30.63,1634,False,COMPLETED,
LDG-000049,LO-PS27-01005,eldoret,ELD-P06,2026-06-11 17:02:48,2026-06-11 17:36:58,40000,40000,34.16,1636,False,COMPLETED,
LDG-000050,LO-KOTPS1-01018,mombasa,MBA-P01,2026-06-11 16:39:53,2026-06-11 17:09:50,34000,34000,29.94,1591,False,COMPLETED,
LDG-000051,LO-PS27-01006,eldoret,ELD-P06,2026-06-11 18:02:12,2026-06-11 18:32:18,34000,34000,30.11,1519,False,COMPLETED,
LDG-000052,LO-KOTPS1-01019,mombasa,MBA-P06,2026-06-11 15:06:37,2026-06-11 15:33:47,34000,34000,27.15,1668,False,COMPLETED,
LDG-000053,LO-PS27-01007,eldoret,ELD-P02,2026-06-11 12:07:34,2026-06-11 12:37:28,32000,32000,29.9,1665,False,COMPLETED,
LDG-000054,LO-PS28-01004,kisumu,KSM-P02,2026-06-11 11:43:49,2026-06-11 12:08:20,36000,36000,24.51,2227,True,COMPLETED,
LDG-000055,LO-PS27-01008,eldoret,ELD-P02,2026-06-11 13:43:16,2026-06-11 14:11:59,36000,36000,28.71,1660,False,COMPLETED,
LDG-000056,LO-KOTPS1-01020,mombasa,MBA-P04,2026-06-11 10:02:27,2026-06-11 10:25:30,36000,36000,23.06,2227,True,COMPLETED,
LDG-000057,LO-PS27-01009,eldoret,ELD-P02,2026-06-11 13:20:15,2026-06-11 13:46:35,32000,32000,26.34,1579,False,COMPLETED,
LDG-000058,LO-KOTPS1-01021,mombasa,MBA-P01,2026-06-11 12:24:50,2026-06-11 12:56:45,38000,38000,31.92,1580,False,COMPLETED,
LDG-000059,LO-PS25-01008,nakuru,NKR-P02,2026-06-11 14:14:43,2026-06-11 14:45:33,36000,36000,30.83,1584,False,COMPLETED,
LDG-000060,LO-KOTPS1-01022,mombasa,MBA-P09,2026-06-11 09:59:51,2026-06-11 10:33:30,34000,34000,33.64,1434,False,COMPLETED,
LDG-000061,LO-PS10-01022,nairobi,NBO-P08,2026-06-11 10:57:20,2026-06-11 11:25:41,28000,28000,28.34,1632,False,COMPLETED,
LDG-000062,LO-PS10-01023,nairobi,NBO-P01,2026-06-11 14:33:31,2026-06-11 15:01:46,32000,32000,28.25,1673,False,COMPLETED,
LDG-000063,LO-PS10-01024,nairobi,NBO-P03,2026-06-11 15:30:51,2026-06-11 15:56:27,40000,40000,25.59,2227,True,COMPLETED,
LDG-000064,LO-PS10-01025,nairobi,NBO-P04,2026-06-11 19:01:35,2026-06-11 19:28:43,36000,36000,27.13,2227,True,COMPLETED,
LDG-000065,LO-PS25-01009,nakuru,NKR-P03,2026-06-11 15:21:03,2026-06-11 15:49:56,34000,34000,28.88,1587,False,COMPLETED,
LDG-000066,LO-PS25-01010,nakuru,NKR-P01,2026-06-11 19:07:28,2026-06-11 19:34:56,34000,34000,27.48,2160,True,COMPLETED,
LDG-000067,LO-PS27-01010,eldoret,ELD-P02,2026-06-11 15:20:08,2026-06-11 15:51:49,40000,40000,31.68,1624,False,COMPLETED,
LDG-000068,LO-PS28-01005,kisumu,KSM-P02,2026-06-11 10:51:55,2026-06-11 11:17:12,36000,36000,25.28,2227,True,COMPLETED,
LDG-000069,LO-PS10-01026,nairobi,NBO-P07,2026-06-11 08:03:11,2026-06-11 08:33:38,32000,32000,30.44,1731,False,COMPLETED,
LDG-000070,LO-PS25-01011,nakuru,NKR-P01,2026-06-11 09:26:17,2026-06-11 09:59:50,40000,40000,33.56,1489,False,COMPLETED,
LDG-000071,LO-PS10-01027,nairobi,NBO-P03,2026-06-11 11:31:49,2026-06-11 11:57:52,32000,32000,26.05,2227,True,COMPLETED,
LDG-000072,LO-PS25-01012,nakuru,NKR-P03,2026-06-11 12:08:15,2026-06-11 12:29:34,34000,34000,21.32,2227,True,COMPLETED,
LDG-000073,LO-PS10-01028,nairobi,NBO-P08,2026-06-11 10:59:41,2026-06-11 11:36:03,40000,40000,36.37,1549,False,COMPLETED,
LDG-000074,LO-PS28-01006,kisumu,KSM-P02,2026-06-11 11:02:36,2026-06-11 11:25:44,36000,36000,23.14,2227,True,COMPLETED,
LDG-000075,LO-KOTPS1-01023,mombasa,MBA-P03,2026-06-11 16:18:46,2026-06-11 16:48:44,36000,36000,29.97,1590,False,COMPLETED,
LDG-000076,LO-KOTPS1-01024,mombasa,MBA-P04,2026-06-11 20:00:13,2026-06-11 20:26:24,36000,36000,26.19,2227,True,COMPLETED,
LDG-000077,LO-PS10-01029,nairobi,NBO-P04,2026-06-11 10:43:37,2026-06-11 11:18:34,40000,40000,34.95,1652,False,COMPLETED,
LDG-000078,LO-PS10-01030,nairobi,NBO-P02,2026-06-11 17:46:19,2026-06-11 18:21:43,40000,40000,35.39,1541,False,COMPLETED,
LDG-000079,LO-PS25-01013,nakuru,NKR-P02,2026-06-11 13:34:24,2026-06-11 14:04:20,34000,34000,29.93,1514,False,COMPLETED,
LDG-000080,LO-KOTPS1-01025,mombasa,MBA-P04,2026-06-11 11:03:42,2026-06-11 11:25:43,34000,34000,22.01,2227,True,COMPLETED,
LDG-000081,LO-PS10-01031,nairobi,NBO-P03,2026-06-11 11:31:52,2026-06-11 11:56:46,28000,28000,24.9,1670,False,COMPLETED,
LDG-000082,LO-KOTPS1-01026,mombasa,MBA-P02,2026-06-11 14:33:15,2026-06-11 14:59:49,36000,36000,26.57,2227,True,COMPLETED,
LDG-000083,LO-PS27-01011,eldoret,ELD-P01,2026-06-11 11:32:30,2026-06-11 12:06:01,34000,34000,33.52,1561,False,COMPLETED,
LDG-000084,LO-PS25-01014,nakuru,NKR-P02,2026-06-11 14:19:35,2026-06-11 14:49:00,34000,34000,29.42,1502,False,COMPLETED,
LDG-000085,LO-KOTPS1-01027,mombasa,MBA-P04,2026-06-11 19:31:25,2026-06-11 19:54:56,34000,34000,23.52,2227,True,COMPLETED,
LDG-000086,LO-KOTPS1-01028,mombasa,MBA-P03,2026-06-11 12:43:45,2026-06-11 13:12:15,36000,36000,28.51,1678,False,COMPLETED,
LDG-000087,LO-PS27-01012,eldoret,ELD-P04,2026-06-11 13:52:10,2026-06-11 14:19:57,40000,40000,27.79,2227,True,COMPLETED,
LDG-000088,LO-PS25-01015,nakuru,NKR-P04,2026-06-11 17:45:08,2026-06-11 18:18:11,40000,40000,33.05,1630,False,COMPLETED,
LDG-000089,LO-KOTPS1-01029,mombasa,MBA-P02,2026-06-11 14:41:28,2026-06-11 15:04:59,34000,34000,23.51,2227,True,COMPLETED,
LDG-000090,LO-KOTPS1-01030,mombasa,MBA-P03,2026-06-11 10:56:24,2026-06-11 11:28:36,40000,40000,32.21,1601,False,COMPLETED,
LDG-000091,LO-KOTPS1-01031,mombasa,MBA-P04,2026-06-11 16:31:22,2026-06-11 17:03:43,32000,32000,32.35,1536,False,COMPLETED,
LDG-000092,LO-PS10-01032,nairobi,NBO-P02,2026-06-11 12:43:16,2026-06-11 13:07:46,38000,38000,24.5,2227,True,COMPLETED,
LDG-000093,LO-PS27-01013,eldoret,ELD-P02,2026-06-11 09:22:08,2026-06-11 09:53:02,34000,34000,30.9,1637,False,COMPLETED,
LDG-000094,LO-PS10-01033,nairobi,NBO-P03,2026-06-11 14:46:24,2026-06-11 15:09:51,36000,36000,23.45,2227,True,COMPLETED,
LDG-000095,LO-KOTPS1-01032,mombasa,MBA-P08,2026-06-11 09:09:44,2026-06-11 09:43:30,38000,38000,33.75,1422,False,COMPLETED,
LDG-000096,LO-PS25-01016,nakuru,NKR-P01,2026-06-11 13:48:16,2026-06-11 14:20:48,34000,34000,32.52,1591,False,COMPLETED,
LDG-000097,LO-PS27-01014,eldoret,ELD-P05,2026-06-11 13:34:19,2026-06-11 14:03:59,32000,32000,29.66,1523,False,COMPLETED,
LDG-000098,LO-PS10-01034,nairobi,NBO-P05,2026-06-11 19:10:00,2026-06-11 19:44:36,38000,38000,34.59,1481,False,COMPLETED,
LDG-000099,LO-PS10-01035,nairobi,NBO-P08,2026-06-11 08:17:35,2026-06-11 08:42:37,28000,28000,25.04,1528,False,COMPLETED,
LDG-000100,LO-PS10-01036,nairobi,NBO-P08,2026-06-11 16:22:11,2026-06-11 16:52:27,32000,32000,30.27,1570,False,COMPLETED,
LDG-000101,LO-PS10-01037,nairobi,NBO-P01,2026-06-11 10:39:25,2026-06-11 11:02:56,28000,28000,23.51,1614,False,COMPLETED,
LDG-000102,LO-PS28-01008,kisumu,KSM-P03,2026-06-11 11:12:49,2026-06-11 11:43:52,40000,40000,31.06,1619,False,COMPLETED,
LDG-000103,LO-KOTPS1-01033,mombasa,MBA-P07,2026-06-11 14:24:25,2026-06-11 14:58:52,38000,38000,34.44,1594,False,COMPLETED,
LDG-000104,LO-PS10-01038,nairobi,NBO-P08,2026-06-11 13:16:15,2026-06-11 13:42:09,28000,28000,25.89,1543,False,COMPLETED,
LDG-000105,LO-PS25-01017,nakuru,NKR-P01,2026-06-11 12:14:51,2026-06-11 12:40:20,38000,38000,25.48,2160,True,COMPLETED,
LDG-000106,LO-PS10-01039,nairobi,NBO-P03,2026-06-11 10:36:50,2026-06-11 11:03:08,38000,38000,26.29,2227,True,COMPLETED,
LDG-000107,LO-PS10-01040,nairobi,NBO-P08,2026-06-11 13:29:56,2026-06-11 14:02:56,34000,34000,33.02,1579,False,COMPLETED,
LDG-000108,LO-PS28-01009,kisumu,KSM-P02,2026-06-11 11:43:17,2026-06-11 12:09:52,34000,34000,26.57,1694,False,COMPLETED,
LDG-000109,LO-PS25-01018,nakuru,NKR-P02,2026-06-11 11:18:56,2026-06-11 11:50:01,36000,36000,31.09,1645,False,COMPLETED,
LDG-000110,LO-KOTPS1-01034,mombasa,MBA-P04,2026-06-11 12:50:28,2026-06-11 13:16:13,36000,36000,25.74,2227,True,COMPLETED,
LDG-000111,LO-KOTPS1-01035,mombasa,MBA-P01,2026-06-11 11:00:05,2026-06-11 11:28:13,40000,40000,28.13,2227,True,COMPLETED,
LDG-000112,LO-PS10-01041,nairobi,NBO-P03,2026-06-11 13:41:12,2026-06-11 14:07:57,40000,40000,26.76,2227,True,COMPLETED,
LDG-000113,LO-PS10-01042,nairobi,NBO-P01,2026-06-11 16:19:56,2026-06-11 16:43:17,36000,36000,23.36,2227,True,COMPLETED,
LDG-000114,LO-PS25-01019,nakuru,NKR-P03,2026-06-11 18:42:40,2026-06-11 19:15:45,36000,36000,33.09,1621,False,COMPLETED,
LDG-000115,LO-PS10-01043,nairobi,NBO-P07,2026-06-11 09:41:35,2026-06-11 10:09:15,34000,34000,27.67,1627,False,COMPLETED,
LDG-000116,LO-KOTPS1-01036,mombasa,MBA-P01,2026-06-11 12:25:15,2026-06-11 13:00:57,40000,40000,35.69,1576,False,COMPLETED,
LDG-000117,LO-PS10-01044,nairobi,NBO-P01,2026-06-11 16:16:41,2026-06-11 16:50:39,36000,36000,33.97,1527,False,COMPLETED,
LDG-000118,LO-PS10-01045,nairobi,NBO-P06,2026-06-11 19:22:34,2026-06-11 19:56:24,38000,38000,33.84,1588,False,COMPLETED,
