readiness_id,depot_id,product_id,tank_id,readiness_status,certified_volume_litres,event_timestamp,resolved_timestamp,constraint_reason
PRD-000001,nairobi,DPK,T-PS1-01,READY,7786782,2026-06-12 16:00:00,,
PRD-000002,nairobi,PMS,T-PS1-03,READY,7298968,2026-06-13 12:00:00,,
PRD-000003,nairobi,PMS,T-PS1-04,READY,3087488,2026-06-15 07:00:00,,
PRD-000004,nairobi,DPK,T-PS1-02,READY,3986544,2026-06-16 20:00:00,,
PRD-000005,nairobi,AGO,T-PS1-02,READY,2578651,2026-06-17 21:00:00,,
PRD-000006,nairobi,PMS,T-PS1-01,READY,6272846,2026-06-19 05:00:00,,
PRD-000007,nairobi,AGO,T-PS1-04,READY,2696580,2026-06-20 11:00:00,,
PRD-000008,nairobi,AGO,T-PS1-04,CONSTRAINED,7569784,2026-06-21 19:00:00,2026-06-22 19:00:00,PIPELINE_BATCH_TRANSFER_ACTIVE
PRD-000009,nairobi,DPK,T-PS1-01,READY,6806727,2026-06-23 18:00:00,,
PRD-000010,nairobi,AGO,T-PS1-04,READY,3315390,2026-06-25 05:00:00,,
PRD-000011,nairobi,PMS,T-PS1-03,READY,5193523,2026-06-26 02:00:00,,
PRD-000012,nairobi,JET-A1,T-PS1-04,READY,8181367,2026-06-27 15:00:00,,
PRD-000013,nairobi,AGO,T-PS1-04,READY,2960685,2026-06-29 14:00:00,,
PRD-000014,nairobi,JET-A1,T-PS1-02,READY,3414329,2026-06-30 18:00:00,,
PRD-000015,nairobi,JET-A1,T-PS1-03,READY,6808807,2026-07-01 13:00:00,,
PRD-000016,nairobi,JET-A1,T-PS1-04,READY,3049232,2026-07-03 03:00:00,,
PRD-000017,nairobi,JET-A1,T-PS1-01,READY,4262918,2026-07-04 08:00:00,,
PRD-000018,nairobi,JET-A1,T-PS1-04,READY,2512498,2026-07-06 01:00:00,,
PRD-000019,nairobi,DPK,T-PS1-01,READY,7666729,2026-07-07 10:00:00,,
PRD-000020,nairobi,DPK,T-PS1-04,READY,5148620,2026-07-09 00:00:00,,
PRD-000021,nairobi,JET-A1,T-PS1-01,READY,3873529,2026-07-10 15:00:00,,
PRD-000022,nairobi,PMS,T-PS1-01,READY,8289271,2026-07-11 18:00:00,,
PRD-000023,nairobi,AGO,T-PS1-01,READY,4605579,2026-07-13 05:00:00,,
PRD-000024,nairobi,DPK,T-PS1-04,CONSTRAINED,8348702,2026-07-15 00:00:00,2026-07-15 12:00:00,TANK_SETTLING_WATER_DRAINAGE
PRD-000025,nairobi,PMS,T-PS1-04,READY,4373543,2026-07-16 18:00:00,,
PRD-000026,nairobi,AGO,T-PS1-03,READY,3189903,2026-07-18 04:00:00,,
PRD-000027,nairobi,DPK,T-PS1-01,READY,4176548,2026-07-20 04:00:00,,
PRD-000028,nairobi,AGO,T-PS1-01,READY,4245218,2026-07-21 23:00:00,,
PRD-000029,nairobi,PMS,T-PS1-04,READY,5355473,2026-07-22 17:00:00,,
PRD-000030,nairobi,DPK,T-PS1-02,READY,4674413,2026-07-24 10:00:00,,
PRD-000031,nairobi,AGO,T-PS1-04,READY,8421483,2026-07-26 06:00:00,,
PRD-000032,nairobi,JET-A1,T-PS1-03,READY,3035543,2026-07-27 05:00:00,,
PRD-000033,nairobi,JET-A1,T-PS1-04,READY,5366167,2026-07-29 01:00:00,,
PRD-000034,nairobi,JET-A1,T-PS1-04,UNAVAILABLE,6854207,2026-07-30 04:00:00,2026-07-30 09:00:00,LAB_OCTANE_CERTIFICATION_PENDING
PRD-000035,nairobi,DPK,T-PS1-03,READY,2751069,2026-07-31 19:00:00,,
PRD-000036,nairobi,JET-A1,T-PS1-02,READY,3742317,2026-08-01 22:00:00,,
PRD-000037,nairobi,JET-A1,T-PS1-03,READY,8244213,2026-08-03 22:00:00,,
PRD-000038,nairobi,PMS,T-PS1-04,READY,2735051,2026-08-05 16:00:00,,
PRD-000039,nairobi,DPK,T-PS1-02,READY,2802972,2026-08-07 02:00:00,,
PRD-000040,nairobi,JET-A1,T-PS1-02,READY,8002698,2026-08-08 03:00:00,,
PRD-000041,nairobi,JET-A1,T-PS1-03,READY,3241763,2026-08-09 16:00:00,,
PRD-000042,nairobi,JET-A1,T-PS1-03,READY,3092107,2026-08-11 14:00:00,,
PRD-000043,nairobi,AGO,T-PS1-01,READY,2517850,2026-08-13 14:00:00,,
PRD-000044,nairobi,DPK,T-PS1-03,READY,4072836,2026-08-15 07:00:00,,
PRD-000045,nairobi,AGO,T-PS1-04,READY,8136379,2026-08-16 15:00:00,,
PRD-000046,nairobi,DPK,T-PS1-01,READY,5630626,2026-08-18 01:00:00,,
PRD-000047,nairobi,JET-A1,T-PS1-02,READY,4434477,2026-08-18 21:00:00,,
PRD-000048,nairobi,PMS,T-PS1-04,READY,2608008,2026-08-20 21:00:00,,
PRD-000049,nairobi,JET-A1,T-PS1-04,READY,4600843,2026-08-21 15:00:00,,
PRD-000050,nairobi,PMS,T-PS1-01,READY,5518124,2026-08-23 00:00:00,,
PRD-000051,nairobi,DPK,T-PS1-01,READY,4436484,2026-08-24 13:00:00,,
PRD-000052,nairobi,JET-A1,T-PS1-04,READY,3972573,2026-08-26 08:00:00,,
PRD-000053,nairobi,JET-A1,T-PS1-04,READY,3965852,2026-08-28 07:00:00,,
PRD-000054,nairobi,JET-A1,T-PS1-02,READY,5607257,2026-08-29 12:00:00,,
PRD-000055,nairobi,DPK,T-PS1-01,READY,5730584,2026-08-30 08:00:00,,
PRD-000056,nairobi,JET-A1,T-PS1-01,READY,4992534,2026-09-01 05:00:00,,
PRD-000057,nairobi,PMS,T-PS1-01,READY,8298748,2026-09-02 12:00:00,,
PRD-000058,nairobi,JET-A1,T-PS1-04,READY,8459710,2026-09-03 11:00:00,,
PRD-000059,nairobi,DPK,T-PS1-04,READY,5159836,2026-09-05 01:00:00,,
PRD-000060,nairobi,AGO,T-PS1-02,READY,4948154,2026-09-06 20:00:00,,
PRD-000061,nairobi,AGO,T-PS1-03,READY,8108270,2026-09-08 20:00:00,,
PRD-000062,nairobi,JET-A1,T-PS1-01,READY,7214350,2026-09-10 01:00:00,,
PRD-000063,nairobi,PMS,T-PS1-02,READY,7612852,2026-09-11 19:00:00,,
PRD-000064,nairobi,AGO,T-PS1-03,READY,3261006,2026-09-13 12:00:00,,
PRD-000065,nairobi,DPK,T-PS1-02,READY,4127308,2026-09-14 09:00:00,,
PRD-000066,nairobi,JET-A1,T-PS1-04,READY,4815508,2026-09-15 12:00:00,,
PRD-000067,nairobi,JET-A1,T-PS1-04,READY,4812284,2026-09-16 19:00:00,,
PRD-000068,mombasa,PMS,T-KOT-03,READY,5248867,2026-06-12 01:00:00,,
PRD-000069,mombasa,PMS,T-KOT-01,READY,3169882,2026-06-13 18:00:00,,
PRD-000070,mombasa,JET-A1,T-KOT-02,READY,5680944,2026-06-14 18:00:00,,
PRD-000071,mombasa,JET-A1,T-KOT-04,READY,4053184,2026-06-15 21:00:00,,
PRD-000072,mombasa,JET-A1,T-KOT-04,READY,5937181,2026-06-17 00:00:00,,
PRD-000073,mombasa,PMS,T-KOT-04,READY,6601188,2026-06-19 00:00:00,,
PRD-000074,mombasa,DPK,T-KOT-02,READY,6466821,2026-06-19 19:00:00,,
PRD-000075,mombasa,PMS,T-KOT-01,READY,4162306,2026-06-20 18:00:00,,
PRD-000076,mombasa,PMS,T-KOT-04,READY,3145885,2026-06-21 16:00:00,,
PRD-000077,mombasa,AGO,T-KOT-01,READY,3554832,2026-06-23 12:00:00,,
PRD-000078,mombasa,AGO,T-KOT-02,READY,6720785,2026-06-24 23:00:00,,
PRD-000079,mombasa,AGO,T-KOT-01,READY,4190028,2026-06-26 11:00:00,,
PRD-000080,mombasa,AGO,T-KOT-02,READY,7385505,2026-06-27 23:00:00,,
PRD-000081,mombasa,PMS,T-KOT-02,READY,2928402,2026-06-28 23:00:00,,
PRD-000082,mombasa,PMS,T-KOT-01,READY,3719509,2026-06-30 18:00:00,,
PRD-000083,mombasa,JET-A1,T-KOT-04,READY,4179280,2026-07-02 09:00:00,,
PRD-000084,mombasa,PMS,T-KOT-04,READY,8278503,2026-07-03 22:00:00,,
PRD-000085,mombasa,PMS,T-KOT-02,READY,7727283,2026-07-05 18:00:00,,
PRD-000086,mombasa,JET-A1,T-KOT-03,READY,5481900,2026-07-06 20:00:00,,
PRD-000087,mombasa,AGO,T-KOT-03,READY,8212458,2026-07-07 21:00:00,,
PRD-000088,mombasa,PMS,T-KOT-03,READY,6402289,2026-07-09 02:00:00,,
PRD-000089,mombasa,AGO,T-KOT-03,READY,6228102,2026-07-10 19:00:00,,
PRD-000090,mombasa,AGO,T-KOT-03,READY,5876103,2026-07-12 15:00:00,,
PRD-000091,mombasa,DPK,T-KOT-03,READY,2618543,2026-07-13 23:00:00,,
PRD-000092,mombasa,PMS,T-KOT-01,READY,5514696,2026-07-15 02:00:00,,
PRD-000093,mombasa,DPK,T-KOT-04,READY,6398150,2026-07-16 01:00:00,,
PRD-000094,mombasa,PMS,T-KOT-02,READY,6635008,2026-07-17 14:00:00,,
PRD-000095,mombasa,DPK,T-KOT-02,READY,4696806,2026-07-19 02:00:00,,
PRD-000096,mombasa,AGO,T-KOT-01,READY,7478954,2026-07-20 03:00:00,,
PRD-000097,mombasa,AGO,T-KOT-04,CONSTRAINED,7775820,2026-07-21 09:00:00,2026-07-21 16:00:00,PIPELINE_BATCH_TRANSFER_ACTIVE
PRD-000098,mombasa,PMS,T-KOT-03,READY,6690067,2026-07-23 08:00:00,,
PRD-000099,mombasa,AGO,T-KOT-02,READY,5767234,2026-07-24 05:00:00,,
PRD-000100,mombasa,DPK,T-KOT-03,READY,2586382,2026-07-26 01:00:00,,
PRD-000101,mombasa,AGO,T-KOT-02,READY,6146705,2026-07-27 14:00:00,,
PRD-000102,mombasa,PMS,T-KOT-04,READY,4417819,2026-07-28 09:00:00,,
PRD-000103,mombasa,AGO,T-KOT-03,READY,3454188,2026-07-29 03:00:00,,
PRD-000104,mombasa,AGO,T-KOT-01,READY,4064484,2026-07-30 20:00:00,,
PRD-000105,mombasa,JET-A1,T-KOT-02,READY,2959630,2026-08-01 18:00:00,,
PRD-000106,mombasa,JET-A1,T-KOT-04,CONSTRAINED,2999454,2026-08-02 20:00:00,2026-08-03 10:00:00,SULFUR_PPM_ASSAY_RUN
PRD-000107,mombasa,JET-A1,T-KOT-01,READY,8089997,2026-08-03 20:00:00,,
PRD-000108,mombasa,DPK,T-KOT-01,READY,3568134,2026-08-04 19:00:00,,
PRD-000109,mombasa,JET-A1,T-KOT-04,READY,3157382,2026-08-05 14:00:00,,
PRD-000110,mombasa,PMS,T-KOT-04,READY,7595896,2026-08-07 13:00:00,,
PRD-000111,mombasa,JET-A1,T-KOT-03,READY,6134249,2026-08-08 20:00:00,,
PRD-000112,mombasa,PMS,T-KOT-02,READY,6903898,2026-08-10 07:00:00,,
PRD-000113,mombasa,PMS,T-KOT-03,READY,6223889,2026-08-11 11:00:00,,
PRD-000114,mombasa,PMS,T-KOT-04,READY,6579469,2026-08-12 15:00:00,,
PRD-000115,mombasa,PMS,T-KOT-04,READY,4871005,2026-08-13 21:00:00,,
PRD-000116,mombasa,DPK,T-KOT-02,READY,3012496,2026-08-15 10:00:00,,
PRD-000117,mombasa,DPK,T-KOT-03,READY,6663567,2026-08-17 04:00:00,,
PRD-000118,mombasa,JET-A1,T-KOT-04,READY,4375814,2026-08-18 17:00:00,,
PRD-000119,mombasa,AGO,T-KOT-04,READY,4374543,2026-08-19 12:00:00,,
PRD-000120,mombasa,DPK,T-KOT-01,READY,7887293,2026-08-21 12:00:00,,
PRD-000121,mombasa,AGO,T-KOT-01,READY,3114584,2026-08-23 00:00:00,,
PRD-000122,mombasa,PMS,T-KOT-02,READY,5982320,2026-08-24 21:00:00,,
PRD-000123,mombasa,JET-A1,T-KOT-03,READY,3592507,2026-08-26 04:00:00,,
PRD-000124,mombasa,DPK,T-KOT-03,READY,8474693,2026-08-27 09:00:00,,
PRD-000125,mombasa,JET-A1,T-KOT-02,READY,2904094,2026-08-28 06:00:00,,
PRD-000126,mombasa,PMS,T-KOT-01,READY,3312991,2026-08-29 12:00:00,,
PRD-000127,mombasa,PMS,T-KOT-04,READY,4899466,2026-08-30 07:00:00,,
PRD-000128,mombasa,JET-A1,T-KOT-02,READY,7147076,2026-08-31 18:00:00,,
PRD-000129,mombasa,AGO,T-KOT-02,READY,6845573,2026-09-01 12:00:00,,
PRD-000130,mombasa,JET-A1,T-KOT-02,CONSTRAINED,4300086,2026-09-02 11:00:00,2026-09-02 21:00:00,LAB_OCTANE_CERTIFICATION_PENDING
PRD-000131,mombasa,JET-A1,T-KOT-02,READY,6062646,2026-09-04 03:00:00,,
PRD-000132,mombasa,AGO,T-KOT-04,READY,8410008,2026-09-05 21:00:00,,
PRD-000133,mombasa,DPK,T-KOT-02,READY,5168539,2026-09-06 20:00:00,,
PRD-000134,mombasa,PMS,T-KOT-04,CONSTRAINED,3914079,2026-09-07 18:00:00,2026-09-08 06:00:00,SULFUR_PPM_ASSAY_RUN
PRD-000135,mombasa,DPK,T-KOT-04,READY,4100439,2026-09-08 20:00:00,,
PRD-000136,mombasa,DPK,T-KOT-03,READY,2586408,2026-09-10 20:00:00,,
PRD-000137,mombasa,AGO,T-KOT-04,READY,8435234,2026-09-11 20:00:00,,
PRD-000138,mombasa,JET-A1,T-KOT-03,READY,7510416,2026-09-13 15:00:00,,
PRD-000139,mombasa,DPK,T-KOT-04,READY,7002597,2026-09-15 15:00:00,,
PRD-000140,mombasa,AGO,T-KOT-02,READY,5810719,2026-09-16 10:00:00,,
PRD-000141,nakuru,DPK,T-PS2-01,READY,3135071,2026-06-12 05:00:00,,
PRD-000142,nakuru,DPK,T-PS2-01,READY,4830749,2026-06-14 01:00:00,,
PRD-000143,nakuru,DPK,T-PS2-02,READY,3555624,2026-06-16 01:00:00,,
PRD-000144,nakuru,AGO,T-PS2-02,READY,4414252,2026-06-17 07:00:00,,
PRD-000145,nakuru,DPK,T-PS2-04,READY,4009405,2026-06-19 06:00:00,,
PRD-000146,nakuru,PMS,T-PS2-03,READY,6132853,2026-06-20 21:00:00,,
PRD-000147,nakuru,JET-A1,T-PS2-03,READY,4202311,2026-06-22 13:00:00,,
PRD-000148,nakuru,PMS,T-PS2-04,READY,5392485,2026-06-23 20:00:00,,
PRD-000149,nakuru,PMS,T-PS2-03,READY,7816628,2026-06-25 15:00:00,,
PRD-000150,nakuru,DPK,T-PS2-01,READY,8026694,2026-06-27 04:00:00,,
PRD-000151,nakuru,JET-A1,T-PS2-02,CONSTRAINED,5260078,2026-06-28 01:00:00,2026-06-28 15:00:00,SULFUR_PPM_ASSAY_RUN
PRD-000152,nakuru,DPK,T-PS2-03,READY,7472268,2026-06-28 21:00:00,,
PRD-000153,nakuru,PMS,T-PS2-01,READY,6347174,2026-06-29 17:00:00,,
PRD-000154,nakuru,PMS,T-PS2-04,READY,4667901,2026-06-30 21:00:00,,
PRD-000155,nakuru,JET-A1,T-PS2-01,READY,3654574,2026-07-02 05:00:00,,
PRD-000156,nakuru,PMS,T-PS2-03,READY,6703146,2026-07-03 12:00:00,,
PRD-000157,nakuru,AGO,T-PS2-03,READY,3002382,2026-07-04 20:00:00,,
PRD-000158,nakuru,DPK,T-PS2-04,READY,6755296,2026-07-06 12:00:00,,
PRD-000159,nakuru,PMS,T-PS2-01,UNAVAILABLE,6268960,2026-07-08 07:00:00,2026-07-08 21:00:00,TANK_SETTLING_WATER_DRAINAGE
PRD-000160,nakuru,PMS,T-PS2-03,READY,2803554,2026-07-09 18:00:00,,
PRD-000161,nakuru,DPK,T-PS2-03,READY,7762867,2026-07-11 03:00:00,,
PRD-000162,nakuru,AGO,T-PS2-01,READY,3405064,2026-07-12 16:00:00,,
PRD-000163,nakuru,PMS,T-PS2-03,READY,4376355,2026-07-14 15:00:00,,
PRD-000164,nakuru,AGO,T-PS2-01,READY,4895362,2026-07-15 14:00:00,,
PRD-000165,nakuru,AGO,T-PS2-02,READY,3568570,2026-07-16 10:00:00,,
PRD-000166,nakuru,JET-A1,T-PS2-01,READY,3514449,2026-07-17 17:00:00,,
PRD-000167,nakuru,JET-A1,T-PS2-03,READY,3128129,2026-07-18 12:00:00,,
PRD-000168,nakuru,DPK,T-PS2-01,READY,3253552,2026-07-19 14:00:00,,
PRD-000169,nakuru,DPK,T-PS2-01,READY,4195669,2026-07-21 02:00:00,,
PRD-000170,nakuru,JET-A1,T-PS2-04,READY,5453575,2026-07-22 23:00:00,,
PRD-000171,nakuru,JET-A1,T-PS2-03,UNAVAILABLE,6376031,2026-07-24 15:00:00,2026-07-25 11:00:00,SULFUR_PPM_ASSAY_RUN
PRD-000172,nakuru,PMS,T-PS2-04,READY,6708497,2026-07-25 23:00:00,,
PRD-000173,nakuru,JET-A1,T-PS2-02,READY,4436242,2026-07-27 20:00:00,,
PRD-000174,nakuru,JET-A1,T-PS2-03,READY,4713838,2026-07-29 10:00:00,,
PRD-000175,nakuru,AGO,T-PS2-03,READY,5452239,2026-07-30 10:00:00,,
PRD-000176,nakuru,PMS,T-PS2-02,READY,7845669,2026-07-31 09:00:00,,
PRD-000177,nakuru,AGO,T-PS2-03,READY,6518977,2026-08-01 16:00:00,,
PRD-000178,nakuru,AGO,T-PS2-02,READY,5559434,2026-08-03 07:00:00,,
PRD-000179,nakuru,JET-A1,T-PS2-03,READY,5705207,2026-08-04 02:00:00,,
PRD-000180,nakuru,JET-A1,T-PS2-04,READY,2506363,2026-08-05 23:00:00,,
PRD-000181,nakuru,PMS,T-PS2-02,READY,5258116,2026-08-07 15:00:00,,
