signal_id,order_id,signal_source,signal_timestamp,signal_quality,estimated_distance_km,predicted_arrival_window_start,predicted_arrival_window_end,confidence_pct
SIG-NBO-DEMO-01,LO-NBO-8821,OPTIONAL_TELEMATICS,2026-09-15 09:45:00,HIGH,14.5,2026-09-15 10:10:00,2026-09-15 10:25:00,88
SIG-000001,LO-PS28-01001,HISTORICAL_BASELINE,2026-06-11 14:28:02,BASELINE,9.5,2026-06-11 15:01:02,2026-06-11 15:28:02,75
SIG-000002,LO-PS10-01001,HISTORICAL_BASELINE,2026-06-11 09:53:27,BASELINE,61.6,2026-06-11 10:29:27,2026-06-11 10:56:27,62
SIG-000003,LO-PS10-01002,OPTIONAL_TELEMATICS,2026-06-11 08:38:07,HIGH,16.2,2026-06-11 09:20:07,2026-06-11 09:47:07,94
SIG-000004,LO-PS25-01001,HISTORICAL_BASELINE,2026-06-11 14:46:18,BASELINE,59.1,2026-06-11 16:27:18,2026-06-11 16:54:18,72
SIG-000005,LO-PS10-01003,OPTIONAL_TELEMATICS,2026-06-11 09:44:04,HIGH,27.4,2026-06-11 10:02:04,2026-06-11 10:29:04,88
SIG-000006,LO-KOTPS1-01001,HISTORICAL_BASELINE,2026-06-11 12:34:11,BASELINE,42.3,2026-06-11 13:39:11,2026-06-11 14:06:11,68
SIG-000007,LO-PS10-01004,HISTORICAL_BASELINE,2026-06-11 10:07:27,BASELINE,25.5,2026-06-11 10:15:27,2026-06-11 10:42:27,61
SIG-000008,LO-KOTPS1-01002,HISTORICAL_BASELINE,2026-06-11 10:59:16,BASELINE,45.7,2026-06-11 12:26:16,2026-06-11 12:53:16,72
SIG-000009,LO-KOTPS1-01003,OPTIONAL_TELEMATICS,2026-06-11 11:23:59,HIGH,19.1,2026-06-11 12:54:59,2026-06-11 13:21:59,93
SIG-000010,LO-PS25-01002,HISTORICAL_BASELINE,2026-06-11 11:33:24,BASELINE,50.9,2026-06-11 11:51:24,2026-06-11 12:18:24,71
SIG-000011,LO-PS27-01001,HISTORICAL_BASELINE,2026-06-11 11:57:17,BASELINE,23.2,2026-06-11 13:50:17,2026-06-11 14:17:17,64
SIG-000012,LO-PS10-01005,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 15:25:31,MEDIUM,42.6,2026-06-11 17:07:31,2026-06-11 17:34:31,82
SIG-000013,LO-KOTPS1-01004,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 11:35:10,MEDIUM,9.8,2026-06-11 11:48:10,2026-06-11 12:15:10,75
SIG-000014,LO-PS27-01002,OPTIONAL_TRAFFIC_SIGNAL,2026-06-11 15:38:35,MEDIUM,42.8,2026-06-11 16:32:35,2026-06-11 16:59:35,78
SIG-000015,LO-PS10-01006,HISTORICAL_BASELINE,2026-06-11 08:56:56,BASELINE,29.9,2026-06-11 10:25:56,2026-06-11 10:52:56,68
