notification_id,order_id,omc_id,depot_id,recipient_role,notification_type,priority,title,message,previous_timing,new_timing,timestamp,requires_acknowledgement,is_acknowledged,acknowledged_at
NOTIF-0001,LO-NBO-8821,vivo,nairobi,DRIVER,INSTRUCTION_UPDATE,IMPORTANT,Fast-Track Loading Position Assigned: Bay P04,FlowGuard autonomous deconfliction has reassigned your collection from congested Bay P01 to dual-arm Bay P04.,Bay P01 (Queue: 3 tankers),Bay P04 (Immediate ingress),2026-09-15 10:31:00,True,True,2026-09-15 10:33:00
NOTIF-00002,LO-PS27-1288,lakeoil,eldoret,OMC,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 19m turnaround delay.,+32m projected delay,+13m adjusted window,2026-06-11 15:00:29,False,True,2026-06-11 15:02:29
NOTIF-00003,LO-PS27-1545,rubis,eldoret,DRIVER,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 15m turnaround delay.,+24m projected delay,+9m adjusted window,2026-06-12 10:00:47,False,True,2026-06-12 10:02:47
NOTIF-00004,LO-PS25-1375,hass,nakuru,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nakuru Depot (PS25),Autonomous queue deconfliction has recovered estimated 5m turnaround delay.,+7m projected delay,+2m adjusted window,2026-06-13 19:00:43,False,True,2026-06-13 19:02:43
NOTIF-00005,LO-KOTPS1-3870,rubis,mombasa,OMC,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 27m turnaround delay.,+39m projected delay,+12m adjusted window,2026-06-14 13:00:24,False,True,2026-06-14 13:02:24
NOTIF-00006,LO-PS27-8360,ola,eldoret,OMC,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Eldoret Depot (PS27),Autonomous queue deconfliction has recovered estimated 28m turnaround delay.,+43m projected delay,+15m adjusted window,2026-06-15 06:00:21,False,True,2026-06-15 06:02:21
NOTIF-00007,LO-KOTPS1-4967,rubis,mombasa,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Mombasa Terminal (KOT-PS1),Autonomous queue deconfliction has recovered estimated 12m turnaround delay.,+17m projected delay,+5m adjusted window,2026-06-15 10:00:20,False,True,2026-06-15 10:02:20
NOTIF-00008,LO-PS10-5237,hass,nairobi,DRIVER,PREDICTED_GATE_OUT_CHANGE,INFO,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 11m turnaround delay.,+19m projected delay,+8m adjusted window,2026-06-15 16:00:43,False,True,2026-06-15 16:02:43
NOTIF-00009,LO-PS10-7061,hass,nairobi,DRIVER,INSTRUCTION_UPDATE,IMPORTANT,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 28m turnaround delay.,+41m projected delay,+13m adjusted window,2026-06-16 12:00:30,False,True,2026-06-16 12:02:30
NOTIF-00010,LO-PS10-3126,rubis,nairobi,DRIVER,PREDICTED_GATE_OUT_CHANGE,IMPORTANT,Collection Re-sequenced at Nairobi Terminal (PS10),Autonomous queue deconfliction has recovered estimated 11m turnaround delay.,+18m projected delay,+7m adjusted window,2026-06-16 20:00:20,False,True,2026-06-16 20:02:20
