risk_event_id,depot_id,detected_at,risk_category,severity,predicted_turnaround_min,baseline_turnaround_min,dwell_delta_min,exposure_at_risk_kes,primary_root_cause,affected_orders_count,status
RSK-NBO-20260915-01,nairobi,2026-09-15 10:02:18,TURNAROUND_RISK,HIGH,114,65,49,1850000,Loading Capacity Deficit (5/8 bays online) + Peak Arrival Surge,6,MITIGATED
RSK-ELD-00002,eldoret,2026-06-11 15:00:00,PRODUCT_READINESS,CRITICAL,82,50,32,1066640,Tank Recertification Hold,8,MITIGATED
RSK-ELD-00003,eldoret,2026-06-12 10:00:00,TURNAROUND_RISK,HIGH,74,50,24,400000,Gantry Queue Congestion + Slow Metering,4,MITIGATED
RSK-ELD-00004,eldoret,2026-06-12 16:00:00,PRODUCT_READINESS,LOW,70,50,20,666640,Tank Recertification Hold,8,MITIGATED
RSK-NAK-00005,nakuru,2026-06-13 19:00:00,QUEUE_PRESSURE,MEDIUM,65,58,7,233280,Clustered Transporter Arrivals,8,MITIGATED
RSK-NAI-00006,nairobi,2026-06-14 07:00:00,ARRIVAL_CLUSTERING,LOW,80,65,15,250000,Morning Peak Arrival Surge,4,MITIGATED
RSK-MOM-00007,mombasa,2026-06-14 13:00:00,ARRIVAL_CLUSTERING,HIGH,111,72,39,1300000,Morning Peak Arrival Surge,8,MITIGATED
RSK-NAI-00008,nairobi,2026-06-14 21:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,71,65,6,50000,Flow Meter Temperature Sensor Drift,2,MITIGATED
RSK-ELD-00009,eldoret,2026-06-15 06:00:00,CAPACITY_PRESSURE,HIGH,93,50,43,1254120,Loading Position Offline for Maintenance,7,MITIGATED
RSK-MOM-00010,mombasa,2026-06-15 10:00:00,CAPACITY_PRESSURE,MEDIUM,89,72,17,566640,Loading Position Offline for Maintenance,8,MITIGATED
RSK-NAI-00011,nairobi,2026-06-15 16:00:00,PRODUCT_READINESS,MEDIUM,84,65,19,633280,Tank Recertification Hold,8,MITIGATED
RSK-MOM-00012,mombasa,2026-06-16 07:00:00,ARRIVAL_CLUSTERING,HIGH,85,72,13,108320,Morning Peak Arrival Surge,2,MITIGATED
RSK-NAI-00013,nairobi,2026-06-16 12:00:00,TURNAROUND_RISK,HIGH,106,65,41,1366640,Gantry Queue Congestion + Slow Metering,8,MITIGATED
RSK-NAI-00014,nairobi,2026-06-16 20:00:00,ARRIVAL_CLUSTERING,CRITICAL,83,65,18,150000,Morning Peak Arrival Surge,2,MITIGATED
RSK-MOM-00015,mombasa,2026-06-17 14:00:00,TURNAROUND_RISK,MEDIUM,86,72,14,408310,Gantry Queue Congestion + Slow Metering,7,MITIGATED
RSK-ELD-00016,eldoret,2026-06-18 00:00:00,CAPACITY_PRESSURE,HIGH,94,50,44,1099980,Loading Position Offline for Maintenance,6,MITIGATED
RSK-MOM-00017,mombasa,2026-06-18 12:00:00,TURNAROUND_RISK,HIGH,113,72,41,1195810,Gantry Queue Congestion + Slow Metering,7,MITIGATED
RSK-KIS-00018,kisumu,2026-06-19 00:00:00,TURNAROUND_RISK,MEDIUM,64,45,19,316640,Gantry Queue Congestion + Slow Metering,4,MITIGATED
RSK-NAI-00019,nairobi,2026-06-19 11:00:00,CAPACITY_PRESSURE,MEDIUM,71,65,6,150000,Loading Position Offline for Maintenance,6,MITIGATED
RSK-NAK-00020,nakuru,2026-06-20 00:00:00,PRODUCT_READINESS,MEDIUM,74,58,16,333300,Tank Recertification Hold,5,MITIGATED
RSK-NAK-00021,nakuru,2026-06-20 06:00:00,EQUIPMENT_CONSTRAINT,LOW,65,58,7,174960,Flow Meter Temperature Sensor Drift,6,MITIGATED
RSK-NAI-00022,nairobi,2026-06-20 08:00:00,PRODUCT_READINESS,CRITICAL,77,65,12,250000,Tank Recertification Hold,5,MITIGATED
RSK-MOM-00023,mombasa,2026-06-20 10:00:00,ARRIVAL_CLUSTERING,LOW,83,72,11,366640,Morning Peak Arrival Surge,8,MITIGATED
RSK-ELD-00024,eldoret,2026-06-20 12:00:00,PRODUCT_READINESS,LOW,65,50,15,375000,Tank Recertification Hold,6,MITIGATED
RSK-NAI-00025,nairobi,2026-06-21 05:00:00,EQUIPMENT_CONSTRAINT,HIGH,77,65,12,100000,Flow Meter Temperature Sensor Drift,2,MITIGATED
RSK-NAI-00026,nairobi,2026-06-21 10:00:00,EQUIPMENT_CONSTRAINT,HIGH,81,65,16,466620,Flow Meter Temperature Sensor Drift,7,MITIGATED
RSK-MOM-00027,mombasa,2026-06-21 21:00:00,TURNAROUND_RISK,LOW,87,72,15,187500,Gantry Queue Congestion + Slow Metering,3,MITIGATED
RSK-NAK-00028,nakuru,2026-06-22 03:00:00,CAPACITY_PRESSURE,HIGH,89,58,31,1033280,Loading Position Offline for Maintenance,8,MITIGATED
RSK-NAI-00029,nairobi,2026-06-22 05:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,83,65,18,150000,Flow Meter Temperature Sensor Drift,2,MITIGATED
RSK-MOM-00030,mombasa,2026-06-22 08:00:00,PRODUCT_READINESS,LOW,88,72,16,399960,Tank Recertification Hold,6,MITIGATED
RSK-ELD-00031,eldoret,2026-06-22 11:00:00,QUEUE_PRESSURE,HIGH,76,50,26,758310,Clustered Transporter Arrivals,7,MITIGATED
RSK-MOM-00032,mombasa,2026-06-22 16:00:00,CAPACITY_PRESSURE,MEDIUM,90,72,18,525000,Loading Position Offline for Maintenance,7,MITIGATED
RSK-NAI-00033,nairobi,2026-06-22 18:00:00,EQUIPMENT_CONSTRAINT,HIGH,110,65,45,1500000,Flow Meter Temperature Sensor Drift,8,MITIGATED
RSK-MOM-00034,mombasa,2026-06-22 23:00:00,ARRIVAL_CLUSTERING,LOW,88,72,16,533280,Morning Peak Arrival Surge,8,MITIGATED
RSK-NAK-00035,nakuru,2026-06-24 02:00:00,PRODUCT_READINESS,CRITICAL,88,58,30,250000,Tank Recertification Hold,2,MITIGATED
RSK-NAI-00036,nairobi,2026-06-24 04:00:00,ARRIVAL_CLUSTERING,MEDIUM,79,65,14,174990,Morning Peak Arrival Surge,3,MITIGATED
RSK-NAI-00037,nairobi,2026-06-24 08:00:00,CAPACITY_PRESSURE,MEDIUM,75,65,10,333280,Loading Position Offline for Maintenance,8,MITIGATED
RSK-ELD-00038,eldoret,2026-06-24 10:00:00,QUEUE_PRESSURE,MEDIUM,63,50,13,379120,Clustered Transporter Arrivals,7,MITIGATED
RSK-MOM-00039,mombasa,2026-06-25 02:00:00,ARRIVAL_CLUSTERING,MEDIUM,92,72,20,416650,Morning Peak Arrival Surge,5,MONITORING
RSK-MOM-00040,mombasa,2026-06-25 06:00:00,CAPACITY_PRESSURE,LOW,89,72,17,212490,Loading Position Offline for Maintenance,3,MITIGATED
RSK-MOM-00041,mombasa,2026-06-25 12:00:00,QUEUE_PRESSURE,LOW,81,72,9,300000,Clustered Transporter Arrivals,8,MITIGATED
RSK-MOM-00042,mombasa,2026-06-25 15:00:00,PRODUCT_READINESS,HIGH,91,72,19,633280,Tank Recertification Hold,8,MITIGATED
RSK-NAK-00043,nakuru,2026-06-26 12:00:00,EQUIPMENT_CONSTRAINT,HIGH,93,58,35,291660,Flow Meter Temperature Sensor Drift,2,MITIGATED
RSK-ELD-00044,eldoret,2026-06-26 16:00:00,EQUIPMENT_CONSTRAINT,MEDIUM,62,50,12,100000,Flow Meter Temperature Sensor Drift,2,MITIGATED
