decision_id,risk_event_id,depot_id,decision_timestamp,headline,autonomy_level,decision_status,selected_candidate_id,policy_rule_id,target_orders_count
DEC-0142,RSK-NBO-20260915-01,nairobi,2026-09-15 10:02:45,Dual-Arm Fast-Track & Re-sequencing for Peak Demand Relief,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00002,RSK-ELD-00002,eldoret,2026-06-11 15:00:25,Product Readiness Mitigation at PS27,L3_APPROVAL_REQUIRED,APPROVED,OPT-03,POL-018,8
DEC-00003,RSK-ELD-00003,eldoret,2026-06-12 10:00:44,Turnaround Risk Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00004,RSK-NAK-00005,nakuru,2026-06-13 19:00:40,Queue Pressure Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,8
DEC-00005,RSK-MOM-00007,mombasa,2026-06-14 13:00:22,Arrival Clustering Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,8
DEC-00006,RSK-NAI-00008,nairobi,2026-06-14 21:00:44,Equipment Constraint Mitigation at PS10,L1_ADVISORY,BLOCKED_BY_POLICY,OPT-03,POL-018,2
DEC-00007,RSK-ELD-00009,eldoret,2026-06-15 06:00:17,Capacity Pressure Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,7
DEC-00008,RSK-MOM-00010,mombasa,2026-06-15 10:00:18,Capacity Pressure Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,8
DEC-00009,RSK-NAI-00011,nairobi,2026-06-15 16:00:39,Product Readiness Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,8
DEC-00010,RSK-MOM-00012,mombasa,2026-06-16 07:00:41,Arrival Clustering Mitigation at KOT-PS1,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,2
DEC-00011,RSK-NAI-00013,nairobi,2026-06-16 12:00:26,Turnaround Risk Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,8
DEC-00012,RSK-NAI-00014,nairobi,2026-06-16 20:00:17,Arrival Clustering Mitigation at PS10,L3_APPROVAL_REQUIRED,APPROVED,OPT-03,POL-018,2
DEC-00013,RSK-MOM-00015,mombasa,2026-06-17 14:00:24,Turnaround Risk Mitigation at KOT-PS1,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,7
DEC-00014,RSK-ELD-00016,eldoret,2026-06-18 00:00:36,Capacity Pressure Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,6
DEC-00015,RSK-MOM-00017,mombasa,2026-06-18 12:00:37,Turnaround Risk Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,7
DEC-00016,RSK-KIS-00018,kisumu,2026-06-19 00:00:22,Turnaround Risk Mitigation at PS28,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,4
DEC-00017,RSK-NAI-00019,nairobi,2026-06-19 11:00:43,Capacity Pressure Mitigation at PS10,L1_ADVISORY,BLOCKED_BY_POLICY,OPT-03,POL-018,6
DEC-00018,RSK-NAK-00020,nakuru,2026-06-20 00:00:36,Product Readiness Mitigation at PS25,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,5
DEC-00019,RSK-NAI-00022,nairobi,2026-06-20 08:00:17,Product Readiness Mitigation at PS10,L3_APPROVAL_REQUIRED,APPROVED,OPT-03,POL-018,5
DEC-00020,RSK-NAI-00025,nairobi,2026-06-21 05:00:21,Equipment Constraint Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,2
DEC-00021,RSK-NAI-00026,nairobi,2026-06-21 10:00:17,Equipment Constraint Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,7
DEC-00022,RSK-NAK-00028,nakuru,2026-06-22 03:00:38,Capacity Pressure Mitigation at PS25,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,8
DEC-00023,RSK-NAI-00029,nairobi,2026-06-22 05:00:38,Equipment Constraint Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,2
DEC-00024,RSK-ELD-00031,eldoret,2026-06-22 11:00:31,Queue Pressure Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,7
DEC-00025,RSK-MOM-00032,mombasa,2026-06-22 16:00:24,Capacity Pressure Mitigation at KOT-PS1,L1_ADVISORY,BLOCKED_BY_POLICY,OPT-03,POL-018,7
DEC-00026,RSK-NAI-00033,nairobi,2026-06-22 18:00:29,Equipment Constraint Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,8
DEC-00027,RSK-NAK-00035,nakuru,2026-06-24 02:00:18,Product Readiness Mitigation at PS25,L3_APPROVAL_REQUIRED,APPROVED,OPT-03,POL-018,2
DEC-00028,RSK-NAI-00036,nairobi,2026-06-24 04:00:31,Arrival Clustering Mitigation at PS10,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,3
DEC-00029,RSK-NAI-00037,nairobi,2026-06-24 08:00:31,Capacity Pressure Mitigation at PS10,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,8
DEC-00030,RSK-ELD-00038,eldoret,2026-06-24 10:00:23,Queue Pressure Mitigation at PS27,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,7
DEC-00031,RSK-MOM-00039,mombasa,2026-06-25 02:00:19,Arrival Clustering Mitigation at KOT-PS1,L2_AUTO_EXECUTABLE,EXECUTED,OPT-03,POL-042,5
DEC-00032,RSK-MOM-00042,mombasa,2026-06-25 15:00:23,Product Readiness Mitigation at KOT-PS1,L1_ADVISORY,ADVISORY_POSTED,OPT-03,POL-018,8
