action_id,decision_id,depot_id,action_type,control_state,target_device_interface,dispatched_at,ack_latency_ms,execution_result
ACT-8801,DEC-0142,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Gantry Loading Control Gateway (Bays P01 & P04),2026-09-15 10:02:47,142,SUCCESS_ACTUATION_CONFIRMED
ACT-00002,DEC-00002,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-06-11 15:00:29,203,SUCCESS_ACTUATION_CONFIRMED
ACT-00003,DEC-00003,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-06-12 10:00:47,131,SUCCESS_ACTUATION_CONFIRMED
ACT-00004,DEC-00004,nakuru,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS25),2026-06-13 19:00:43,102,SUCCESS_ACTUATION_CONFIRMED
ACT-00005,DEC-00005,mombasa,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-06-14 13:00:24,115,SUCCESS_ACTUATION_CONFIRMED
ACT-00006,DEC-00007,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-06-15 06:00:21,194,SUCCESS_ACTUATION_CONFIRMED
ACT-00007,DEC-00008,mombasa,DIVERT_TO_AUXILIARY_BAY,PARTIAL,Terminal Loading Actuator (KOT-PS1),2026-06-15 10:00:20,112,SUCCESS_ACTUATION_CONFIRMED
ACT-00008,DEC-00009,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-06-15 16:00:43,169,SUCCESS_ACTUATION_CONFIRMED
ACT-00009,DEC-00011,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-06-16 12:00:30,145,SUCCESS_ACTUATION_CONFIRMED
ACT-00010,DEC-00012,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-06-16 20:00:20,118,SUCCESS_ACTUATION_CONFIRMED
ACT-00011,DEC-00014,eldoret,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS27),2026-06-18 00:00:41,176,SUCCESS_ACTUATION_CONFIRMED
ACT-00012,DEC-00015,mombasa,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (KOT-PS1),2026-06-18 12:00:39,134,SUCCESS_ACTUATION_CONFIRMED
ACT-00013,DEC-00016,kisumu,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS28),2026-06-19 00:00:26,136,SUCCESS_ACTUATION_CONFIRMED
ACT-00014,DEC-00019,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-06-20 08:00:22,197,SUCCESS_ACTUATION_CONFIRMED
ACT-00015,DEC-00020,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-06-21 05:00:25,171,SUCCESS_ACTUATION_CONFIRMED
ACT-00016,DEC-00021,nairobi,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS10),2026-06-21 10:00:21,105,SUCCESS_ACTUATION_CONFIRMED
ACT-00017,DEC-00022,nakuru,DIVERT_TO_AUXILIARY_BAY,VERIFIED,Terminal Loading Actuator (PS25),2026-06-22 03:00:43,208,SUCCESS_ACTUATION_CONFIRMED
ACT-00018,DEC-00024,eldoret,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS27),2026-06-22 11:00:33,198,SUCCESS_ACTUATION_CONFIRMED
ACT-00019,DEC-00026,nairobi,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS10),2026-06-22 18:00:34,106,SUCCESS_ACTUATION_CONFIRMED
ACT-00020,DEC-00027,nakuru,RE_SEQUENCE_QUEUE_AND_DUAL_ARM,VERIFIED,Terminal Loading Actuator (PS25),2026-06-24 02:00:23,157,SUCCESS_ACTUATION_CONFIRMED
