verification_id,decision_id,action_id,verified_at,pre_intervention_turnaround_min,post_intervention_turnaround_min,expected_reduction_min,observed_reduction_min,recovery_attainment_pct,verification_status,exposure_protected_kes,realized_savings_kes
VER-8801,DEC-0142,ACT-8801,2026-09-15 10:48:15,114,80,38,34,89.5,VERIFIED_FULL,1420000,1150000
VER-00002,DEC-00002,ACT-00002,2026-06-11 15:32:29,82,63,24,19,79.2,VERIFIED_PARTIAL,633317,581839
VER-00003,DEC-00003,ACT-00003,2026-06-12 10:59:47,74,59,18,15,83.3,VERIFIED_PARTIAL,250000,234168
VER-00004,DEC-00004,ACT-00004,2026-06-13 20:05:43,65,60,5,5,100.0,VERIFIED_FULL,166628,149627
VER-00005,DEC-00005,ACT-00005,2026-06-14 13:54:24,111,84,29,27,93.1,VERIFIED_FULL,900000,751486
VER-00006,DEC-00007,ACT-00006,2026-06-15 07:02:21,93,65,32,28,87.5,VERIFIED_FULL,816636,691415
VER-00007,DEC-00008,ACT-00007,2026-06-15 10:46:20,89,77,12,12,100.0,VERIFIED_FULL,399981,373692
VER-00008,DEC-00009,ACT-00008,2026-06-15 16:30:43,84,73,14,11,78.6,VERIFIED_PARTIAL,366635,341598
VER-00009,DEC-00011,ACT-00009,2026-06-16 12:51:30,106,78,30,28,93.3,VERIFIED_FULL,933315,823945
VER-00010,DEC-00012,ACT-00010,2026-06-16 20:37:20,83,72,13,11,84.6,VERIFIED_PARTIAL,91666,73522
VER-00011,DEC-00014,ACT-00011,2026-06-18 00:37:41,94,61,33,33,100.0,VERIFIED_FULL,824985,729899
VER-00012,DEC-00015,ACT-00012,2026-06-18 12:56:39,113,85,30,28,93.3,VERIFIED_FULL,816650,727300
VER-00013,DEC-00016,ACT-00013,2026-06-19 00:34:26,64,50,14,14,100.0,VERIFIED_FULL,233313,219424
VER-00014,DEC-00019,ACT-00014,2026-06-20 08:58:22,77,70,9,7,77.8,VERIFIED_PARTIAL,145833,131208
VER-00015,DEC-00020,ACT-00015,2026-06-21 05:36:25,77,69,9,8,88.9,VERIFIED_FULL,66666,57134
VER-00016,DEC-00021,ACT-00016,2026-06-21 10:47:21,81,71,12,10,83.3,VERIFIED_PARTIAL,291637,238010
VER-00017,DEC-00022,ACT-00017,2026-06-22 03:40:43,89,70,23,19,82.6,VERIFIED_PARTIAL,633300,575025
VER-00018,DEC-00024,ACT-00018,2026-06-22 11:43:33,76,61,19,15,78.9,VERIFIED_PARTIAL,437486,393329
VER-00019,DEC-00026,ACT-00019,2026-06-22 19:05:34,110,84,33,26,78.8,VERIFIED_PARTIAL,866666,739008
VER-00020,DEC-00027,ACT-00020,2026-06-24 03:04:23,88,70,22,18,81.8,VERIFIED_PARTIAL,150000,140054
VER-00021,DEC-00028,ACT-00021,2026-06-24 04:43:35,79,70,10,9,90.0,VERIFIED_FULL,112493,97243
VER-00022,DEC-00030,ACT-00022,2026-06-24 11:03:28,63,56,9,7,77.8,VERIFIED_PARTIAL,204141,182159
VER-00023,DEC-00031,ACT-00023,2026-06-25 02:52:21,92,79,15,13,86.7,VERIFIED_FULL,270822,236111
VER-00024,DEC-00033,ACT-00024,2026-06-26 12:40:46,93,71,26,22,84.6,VERIFIED_PARTIAL,183329,168919
VER-00025,DEC-00034,ACT-00025,2026-06-26 16:57:23,62,54,9,8,88.9,VERIFIED_FULL,66666,54325
VER-00026,DEC-00036,ACT-00026,2026-06-27 00:40:35,105,78,30,27,90.0,VERIFIED_FULL,899964,833168
VER-00027,DEC-00037,ACT-00027,2026-06-27 14:37:24,77,61,20,16,80.0,VERIFIED_PARTIAL,333333,273125
VER-00028,DEC-00038,ACT-00028,2026-06-27 20:53:27,103,74,28,29,103.6,VERIFIED_FULL,966646,816599
VER-00029,DEC-00039,ACT-00029,2026-06-27 22:34:27,83,70,13,13,100.0,VERIFIED_FULL,216666,180250
VER-00030,DEC-00040,ACT-00030,2026-06-28 10:44:28,79,75,5,4,80.0,VERIFIED_PARTIAL,83314,76132
VER-00031,DEC-00041,ACT-00031,2026-06-28 14:59:32,93,72,21,21,100.0,VERIFIED_FULL,349980,321162
VER-00032,DEC-00045,ACT-00032,2026-06-30 07:38:20,64,61,4,3,75.0,VERIFIED_PARTIAL,62500,57262
VER-00033,DEC-00046,ACT-00033,2026-06-30 18:55:35,71,55,19,16,84.2,VERIFIED_PARTIAL,399987,342705
