audit_event_id,decision_id,action_id,audit_timestamp,actor,event_type,control_state,audit_reference_sha256,verification_digest
AUD-8801,DEC-0142,ACT-8801,2026-09-15 10:48:22,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,d11610d8c664c3d85eae303c43c115f9889d040ac76eece82ae69672b86e1e05,VERIFIED: -34m reduction observed across 6 tankers (Recovery Attainment 89.5%)
AUD-00002,DEC-00002,ACT-00002,2026-06-11 15:32:36,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,111f55a17bf89d4df8f0bab7ea2cea3084c7be3b1ecf154789beb586af79ce58,Outcome verified: -19m dwell reduction (Attainment 79.2%)
AUD-00003,DEC-00003,ACT-00003,2026-06-12 10:59:54,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,eea862ca964e675daecc7073b010d9bcaa983836eab253792d5eb6d21ef517f8,Outcome verified: -15m dwell reduction (Attainment 83.3%)
AUD-00004,DEC-00004,ACT-00004,2026-06-13 20:05:50,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,9562f56456d31d4366d51ddc2fe8d9d81f81030bdb0a88bf1ccbfc29b6a4225e,Outcome verified: -5m dwell reduction (Attainment 100.0%)
AUD-00005,DEC-00005,ACT-00005,2026-06-14 13:54:31,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,6adeb2fb645f359c709077691e0d598142baf660097efd0d8da1be2c5aa136b1,Outcome verified: -27m dwell reduction (Attainment 93.1%)
AUD-00006,DEC-00007,ACT-00006,2026-06-15 07:02:28,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,49402e0fc79b2969a51e25aeca8d0d8be509437fcc7b0f1204f3ca1055100b1d,Outcome verified: -28m dwell reduction (Attainment 87.5%)
AUD-00007,DEC-00008,ACT-00007,2026-06-15 10:46:27,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,PARTIAL,6e504eb51a2ae39b9f7b66db2d12f5eb5008ff43d20ce48a088929e2594e430f,Outcome verified: -12m dwell reduction (Attainment 100.0%)
AUD-00008,DEC-00009,ACT-00008,2026-06-15 16:30:50,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,5f4cc36335d885b63c128e75ed10044fb4ccbe025febd96f629a19db8fcd1547,Outcome verified: -11m dwell reduction (Attainment 78.6%)
AUD-00009,DEC-00011,ACT-00009,2026-06-16 12:51:37,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,27fcf22a0172f197dbf85ce5be479026e2ddec57d4ac34a3c4b91531f5a79d1c,Outcome verified: -28m dwell reduction (Attainment 93.3%)
AUD-00010,DEC-00012,ACT-00010,2026-06-16 20:37:27,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,75136a95b4cea940d994be18c59f0ce8868297ff373bad683503140b96a45ae8,Outcome verified: -11m dwell reduction (Attainment 84.6%)
AUD-00011,DEC-00014,ACT-00011,2026-06-18 00:37:48,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,32c7fa3e7823325385de0d4cd3df27edd32cfda7926f1940734f5291f9decd2f,Outcome verified: -33m dwell reduction (Attainment 100.0%)
AUD-00012,DEC-00015,ACT-00012,2026-06-18 12:56:46,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,77ca6a51257d9ce4c83eef6bea5d8f1e6f59788a602c0b6af5135b3060445679,Outcome verified: -28m dwell reduction (Attainment 93.3%)
AUD-00013,DEC-00016,ACT-00013,2026-06-19 00:34:33,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,03d6bebbfdd518e25943ca6b6fedb177fb6e5fc41928268141a53ff39f549eec,Outcome verified: -14m dwell reduction (Attainment 100.0%)
AUD-00014,DEC-00019,ACT-00014,2026-06-20 08:58:29,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,47462c6e52cfd5c78d327857f93dd35ab10758f9bbe201ce9d8977fe5ee2e67e,Outcome verified: -7m dwell reduction (Attainment 77.8%)
AUD-00015,DEC-00020,ACT-00015,2026-06-21 05:36:32,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,1d9aac135de5e0d30bed91ec7504ac9c25e20e591fffca9576c4a224fe0b7641,Outcome verified: -8m dwell reduction (Attainment 88.9%)
AUD-00016,DEC-00021,ACT-00016,2026-06-21 10:47:28,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,d85ad2cad4685e819ed1c46c30b7e093a5b03caacc0882dc3401e652ad1c5b24,Outcome verified: -10m dwell reduction (Attainment 83.3%)
AUD-00017,DEC-00022,ACT-00017,2026-06-22 03:40:50,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,8d064dfab3af511848c4cd8c8747cf0fcc9417868d3560fcabece30fc70a9370,Outcome verified: -19m dwell reduction (Attainment 82.6%)
AUD-00018,DEC-00024,ACT-00018,2026-06-22 11:43:40,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,c380ce6d37b7fccceff72273b59992ef53d84e2517d5e5069011c7543914c317,Outcome verified: -15m dwell reduction (Attainment 78.9%)
AUD-00019,DEC-00026,ACT-00019,2026-06-22 19:05:41,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,17a5aa58b8ad73298dd9a329b5544856f9138ca0cf40794151793109f898621d,Outcome verified: -26m dwell reduction (Attainment 78.8%)
AUD-00020,DEC-00027,ACT-00020,2026-06-24 03:04:30,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,e38ab80be1301d1f9467696ee662cef2ed295a073c4cee790e068a9f432ebfa4,Outcome verified: -18m dwell reduction (Attainment 81.8%)
AUD-00021,DEC-00028,ACT-00021,2026-06-24 04:43:42,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,b57319053180180038bbc14ff5fdf8d56e2fb20f6c1ce18a2740de680bc4fd40,Outcome verified: -9m dwell reduction (Attainment 90.0%)
AUD-00022,DEC-00030,ACT-00022,2026-06-24 11:03:35,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,8a4abe8e430ee38c421af35f1ff591b0653a79648461976e44ad09d0c89aaddc,Outcome verified: -7m dwell reduction (Attainment 77.8%)
AUD-00023,DEC-00031,ACT-00023,2026-06-25 02:52:28,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,4848c8f709d245779f70903be8076bad18df56959f48c07d4f52a33fee98b612,Outcome verified: -13m dwell reduction (Attainment 86.7%)
AUD-00024,DEC-00033,ACT-00024,2026-06-26 12:40:53,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,ad52b1cea6d5cb602e730ca0332e021108e9b5530d61effec6cef026b75bb748,Outcome verified: -22m dwell reduction (Attainment 84.6%)
AUD-00025,DEC-00034,ACT-00025,2026-06-26 16:57:30,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,d0971ba1d640d7706fc3b57a49f58c6eeea81c56d3c22961b0dd559303bae011,Outcome verified: -8m dwell reduction (Attainment 88.9%)
AUD-00026,DEC-00036,ACT-00026,2026-06-27 00:40:42,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,182cd26c90e2a986135a8fb1056f3ecfd22268ab4126894225ccaf4f1fe74612,Outcome verified: -27m dwell reduction (Attainment 90.0%)
AUD-00027,DEC-00037,ACT-00027,2026-06-27 14:37:31,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,c25d91310cf17439852a39807c9ccb19876d7f9c20163e12bf2d90220440bb7a,Outcome verified: -16m dwell reduction (Attainment 80.0%)
AUD-00028,DEC-00038,ACT-00028,2026-06-27 20:53:34,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,5f2195357dbad0b37bdcc07d60e204c32a3586da4fd37aa6a5d4dbae0c5f98fa,Outcome verified: -29m dwell reduction (Attainment 103.6%)
AUD-00029,DEC-00039,ACT-00029,2026-06-27 22:34:34,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,eebc5bf4f84c8c9fd7bfe721aed32a2d11fa2520160d33ac5312c021a786f26f,Outcome verified: -13m dwell reduction (Attainment 100.0%)
AUD-00030,DEC-00040,ACT-00030,2026-06-28 10:44:35,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,215206775b98280e50bacda32fb66e5148f416ed09cbe33d6d0493a5c616877a,Outcome verified: -4m dwell reduction (Attainment 80.0%)
AUD-00031,DEC-00041,ACT-00031,2026-06-28 14:59:39,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,690beef1d53a8938afc968c110df794c2c5b21d270e9497f247617342701f360,Outcome verified: -21m dwell reduction (Attainment 100.0%)
AUD-00032,DEC-00045,ACT-00032,2026-06-30 07:38:27,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,1e4f287b9b8013a156c6a0a3c42c190927617fab23f6b76e69b2857cdefbe3ed,Outcome verified: -3m dwell reduction (Attainment 75.0%)
AUD-00033,DEC-00046,ACT-00033,2026-06-30 18:55:42,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,35bf6c1d49476c6f620a846adf00b474815ca66dcc06db5aa04be43ab2515d96,Outcome verified: -16m dwell reduction (Attainment 84.2%)
AUD-00034,DEC-00047,ACT-00034,2026-07-01 10:57:52,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,4747592283c83216742eb4c5f4929f97734edef6760f7dd1f94071d36ab9038d,Outcome verified: -12m dwell reduction (Attainment 80.0%)
AUD-00035,DEC-00050,ACT-00035,2026-07-02 07:58:47,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,63a8d27dc25416fd4d8ee4c16ef47bbcb40f1195d3069400aad9edb8e6aac219,Outcome verified: -28m dwell reduction (Attainment 87.5%)
AUD-00036,DEC-00053,ACT-00036,2026-07-02 19:53:51,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,2229b1d4d73e311c30cd4049a6d3f338fb4b03850f54ad9cd025c5dba9ff7ff2,Outcome verified: -10m dwell reduction (Attainment 83.3%)
AUD-00037,DEC-00054,ACT-00037,2026-07-03 01:43:50,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,1dbda14c6bf1031437b64a683868de53155ce5b2bedceb2ef08a0f6bca59f86e,Outcome verified: -9m dwell reduction (Attainment 100.0%)
AUD-00038,DEC-00055,ACT-00038,2026-07-03 06:56:42,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,3ff7946e52269cd5dd03485fb5168c4a47fa4b7206b3d0d74bff57ee797bb375,Outcome verified: -10m dwell reduction (Attainment 83.3%)
AUD-00039,DEC-00056,ACT-00039,2026-07-03 14:34:55,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,01a0bb1e735f71066ed32ecb524c666fa07b4d81261e993d45d16bc3c84f0768,Outcome verified: -7m dwell reduction (Attainment 100.0%)
AUD-00040,DEC-00059,ACT-00040,2026-07-04 03:42:31,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,PARTIAL,19e2ef211bf6281dacdfca452d9aeaf87f12d49ae635483a8a2b26ec88e5cc8f,Outcome verified: -12m dwell reduction (Attainment 80.0%)
AUD-00041,DEC-00061,ACT-00041,2026-07-04 10:32:50,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,3ab14a28cbe67bf433f48ee5a0fabd6b4ffac61320fa7e8411ead2bac02e3dcc,Outcome verified: -22m dwell reduction (Attainment 91.7%)
AUD-00042,DEC-00062,ACT-00042,2026-07-04 14:56:32,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,43af154aa0ce2e3e0c625cc49206152bddb1d8d4848271d6663d580a6eeeaaee,Outcome verified: -27m dwell reduction (Attainment 103.8%)
AUD-00043,DEC-00064,ACT-00043,2026-07-04 22:05:47,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,7c290feac19e1938a2e2aa05103238d19a937e3686412f06ada28c1f7ab74629,Outcome verified: -22m dwell reduction (Attainment 100.0%)
AUD-00044,DEC-00067,ACT-00044,2026-07-05 18:40:39,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,013f2c404e253936a65b385d9b118f8789503e40a89d248bdf3fc9f9b67e55dc,Outcome verified: -11m dwell reduction (Attainment 84.6%)
AUD-00045,DEC-00068,ACT-00045,2026-07-05 23:43:48,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,3a84ad528e8b3b29bfbaf0230cc55162e36de7029baf8ffc547b817db1134b60,Outcome verified: -7m dwell reduction (Attainment 77.8%)
AUD-00046,DEC-00069,ACT-00046,2026-07-06 02:31:45,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,42d7a70e79058b434fdba286e3da4765eabdee55f4b4802399f11fc2fb57dd00,Outcome verified: -11m dwell reduction (Attainment 84.6%)
AUD-00047,DEC-00070,ACT-00047,2026-07-06 11:34:51,FLOWGUARD_AUTONOMY_ENGINE,CLOSED_LOOP_VERIFICATION_COMPLETE,VERIFIED,934319dfd9c38c6d79e3caa4d1c791c64d126b5541bacda589311029f28e3c3d,Outcome verified: -8m dwell reduction (Attainment 88.9%)
